Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
6155A;23.5(31);25.7(25);26.8(12);27.0(29);32.0(20);;40.3(02);43.7(02);35.5(24);33.2(01);28.5(16);23.5(11);
6000A;23.0(30);22.1(11);24.3(09);;31.8(21);30.7(27);36.2(01);39.9(01);33.1(23);27.7(01);34.0(06);21.3(13);
7178I;22.6(30);28.2(04);31.9(11);28.3(30);34.2(22);37.0(27);39.7(31);42.8(01);34.7(24);34.1(01);28.4(01);25.2(11);42.8(01/ago)
7228;22.2(31);27.0(25);31.5(11);28.2(30);34.8(20);36.5(27);39.5(31);42.0(01);34.5(11);33.5(01);28.3(01);25.5(11);42.0(01/ago)
7031;22.7(31);27.6(04);26.8(02);25.0(20);29.5(02);32.0(04);33.7(01);35.1(01);31.8(24);28.6(01);27.5(16);25.5(11);35.1(01/ago)
9262;18.3(31);20.6(02);;;;;;39.3(07);33.5(13);23.4(08);22.6(01);14.6(14);
9263D;18.6(31);20.7(02);;;31.4(22);;40.3(30);41.3(07);34.5(14);23.8(08);22.9(02);14.5(14);
1690A;18.5(31);25.4(23);25.4(18);25.3(14);35.6(28);37.8(23);38.9(18);40.5(06);36.6(13);26.5(07);23.1(18);18.8(22);40.5(06/ago)
1484C;15.8(24);22.0(03);24.1(18);22.9(14);32.3(27);30.1(30);36.5(17);30.6(04);35.5(12);22.5(07);20.5(12);17.3(01);36.5(17/jul)
1495;15.6(22);21.8(23);23.5(18);22.3(14);32.2(27);30.3(22);;;36.6(12);22.5(07);21.2(19);16.9(01);
2867;16.8(01);20.8(24);24.9(11);21.9(24);31.9(29);37.0(23);39.7(27);39.1(06);34.3(13);27.8(08);23.4(18);18.0(22);39.7(27/jul)
2870;17.2(01);21.8(24);25.8(11);23.1(08);32.4(29);35.7(23);38.1(27);37.6(06);34.2(04);27.3(08);23.1(18);18.5(22);38.1(27/jul)
C929I;26.9(30);27.1(14);23.2(31);26.1(04);31.0(29);29.5(16);29.0(19);29.6(27);31.2(16);31.1(13);29.3(17);23.9(23);31.2(16/sep)
C430E;13.8(28);14.7(05);18.2(02);15.5(08);22.8(25);24.8(30);29.0(27);27.5(22);24.1(06);20.0(05);19.0(10);12.1(21);29.0(27/jul)
C139E;25.1(31);30.4(03);22.7(30);25.9(04);26.7(24);27.9(05);28.1(19);29.1(27);31.2(16);30.6(19);;24.8(02);
C449C;25.0(31);27.6(03);25.1(02);27.1(09);28.6(21);30.3(22);36.3(19);34.5(23);32.7(08);29.7(31);32.5(17);24.7(03);36.3(19/jul)
C447A;25.5(30);25.6(12);26.1(12);;33.5(26);30.7(16);35.7(08);39.6(27);34.9(08);32.3(13);28.9(17);20.2(27);
C429I;26.6(29);31.9(24);27.6(09);27.8(16);33.2(23);29.4(04);36.6(19);36.3(27);36.5(08);34.4(13);;24.5(22);
2465;15.7(01);21.5(03);23.9(11);20.4(24);29.3(30);34.2(23);36.7(27);35.9(07);31.3(05);24.0(08);21.3(18);17.4(22);36.7(27/jul)
5796;19.5(16);24.6(23);30.8(11);24.8(23);36.6(23);39.8(22);42.7(20);42.7(01);38.5(12);34.0(07);29.8(02);20.7(12);42.7(20/jul)
5783;18.9(07);25.5(04);31.0(11);25.9(23);37.5(24);;;42.6(01);38.0(12);34.0(08);29.2(02);21.6(12);
2030;16.1(01);23.2(23);24.7(12);20.0(25);29.5(22);33.5(23);37.2(27);36.6(07);31.8(04);24.5(09);21.1(18);14.8(22);37.2(27/jul)
0016A;22.3(31);24.2(03);23.5(05);24.3(30);30.9(19);31.3(26);35.0(06);34.9(01);31.9(11);28.7(01);23.7(01);19.5(15);35.0(06/jul)
9981A;22.8(31);25.6(03);26.0(11);25.9(30);32.7(22);33.6(22);38.1(23);38.2(01);35.9(13);31.4(01);28.0(01);19.1(13);38.2(01/ago)
9381I;15.4(06);21.5(16);26.8(12);21.4(25);31.6(22);33.4(30);38.6(27);36.9(08);32.0(04);26.6(09);23.0(02);16.6(22);38.6(27/jul)
8368U;16.5(06);23.7(16);28.0(12);24.1(18);31.9(22);36.2(29);39.3(31);38.6(07);33.4(05);27.8(09);26.3(02);17.7(23);39.3(31/jul)
3260B;17.5(16);22.8(22);27.3(12);23.7(24);34.9(23);40.0(30);42.5(27);41.4(07);35.6(06);29.6(09);23.1(01);17.5(01);42.5(27/jul)
8416;23.7(31);27.1(01);25.5(04);27.2(29);33.0(02);30.9(11);32.9(23);34.6(12);32.7(23);32.6(01);25.0(15);23.0(11);34.6(12/ago)
8414A;22.7(31);29.6(04);25.3(04);26.9(30);33.3(02);33.0(11);35.0(31);36.5(16);32.4(23);33.1(01);26.0(01);22.7(23);36.5(16/ago)
2422;14.4(16);21.3(23);24.3(11);23.1(24);32.7(30);37.3(23);39.5(27);38.2(06);34.0(04);25.8(09);20.0(01);15.9(22);39.5(27/jul)
2539;13.6(31);19.8(23);21.8(11);20.8(24);30.5(30);34.8(23);37.8(27);37.2(06);32.6(04);24.7(19);18.8(02);;
2614;15.3(31);21.4(24);25.1(11);22.3(24);33.3(29);37.3(23);39.5(27);39.3(06);34.8(04);26.4(09);20.3(02);;
9390;15.4(09);22.4(23);27.2(12);21.5(17);32.3(22);33.2(23);39.5(27);38.9(07);33.1(04);27.5(08);23.8(02);17.7(22);39.5(27/jul)
9434;20.3(31);21.3(03);25.3(11);24.9(25);33.7(22);35.1(28);40.2(31);39.7(07);34.3(13);25.6(09);24.8(02);17.0(13);40.2(31/jul)
