Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
3129;-5.4(31);-5.9(28);-5.4(02);0.7(05);6.1(20);12.6(03);16.2(26);12.7(28);7.7(23);6.1(31);-0.6(24);-3.5(27);-5.9(28/feb)
3196;-3.2(27);-3.8(28);-4.0(01);4.0(03);6.6(13);12.8(03);17.5(25);12.0(28);9.6(23);6.2(31);1.1(25);-0.5(27);-4.0(01/mar)
3200;-3.8(31);-3.8(28);-3.7(02);3.8(02);7.6(13);13.5(03);17.4(01);14.2(28);11.0(23);6.6(31);1.4(24);-2.8(27);-3.8(31/ene)
3195;-1.8(23);-1.8(28);-1.6(01);5.1(03);8.3(17);13.4(03);17.4(25);15.1(28);10.7(23);7.5(31);3.0(23);-0.2(27);-1.8(23/ene)
3175;-6.2(29);-6.6(28);-7.4(01);-1.8(05);0.1(22);11.6(03);14.7(22);;7.5(23);0.0(30);-1.0(24);-3.3(26);
2462;-10.3(22);-11.6(28);-10.7(01);-4.6(13);-1.9(13);5.5(02);6.1(25);3.6(04);2.1(22);-0.7(21);-3.7(07);-5.4(05);-11.6(28/feb)
6155A;1.1(29);1.8(01);2.8(03);6.4(08);11.7(19);17.1(04);20.0(28);;15.9(28);12.0(29);6.4(24);4.1(19);
6000A;5.6(23);7.6(01);5.9(03);11.5(08);13.1(23);16.9(01);22.0(28);19.6(29);18.8(02);15.4(29);9.2(24);8.4(26);5.6(23/ene)
7178I;0.5(25);-1.2(03);1.1(03);7.3(06);10.5(14);15.0(01);22.3(03);19.8(31);16.3(25);11.0(29);4.7(24);0.7(19);-1.2(03/feb)
7228;-2.5(29);-2.1(01);-1.1(01);4.3(06);9.3(14);14.4(01);21.1(03);17.5(29);14.0(25);9.0(29);3.2(24);-1.5(19);-2.5(29/ene)
7031;0.5(22);-1.0(04);1.2(05);6.5(08);9.0(14);15.0(01);21.0(03);17.5(29);16.5(23);7.9(29);3.5(24);0.5(19);-1.0(04/feb)
9263D;;-5.9(11);-5.1(05);-1.3(05);4.5(02);11.1(01);12.2(31);;;4.7(22);;;
9262;-2.3(25);-2.7(10);-2.5(04);1.4(05);6.8(18);12.6(01);13.5(27);;8.3(24);6.5(22);;-1.2(19);
1690A;-3.4(31);-3.4(11);-2.8(02);1.5(02);6.2(18);12.5(30);11.0(16);11.0(04);8.8(23);7.4(24);3.1(23);-1.4(19);-3.4(31/ene)
1484C;;0.2(24);0.0(02);5.2(02);;12.5(05);11.3(16);11.6(05);9.8(23);9.0(21);4.9(25);1.2(18);
1495;0.2(30);-0.9(24);-0.5(02);;8.4(11);12.4(30);11.5(16);11.9(04);9.8(23);9.0(30);4.6(25);-0.2(18);
2867;-7.5(23);-8.3(28);-7.7(03);-4.0(05);1.5(13);9.1(13);7.3(17);5.8(28);2.7(23);1.6(24);-4.7(24);-4.9(22);-8.3(28/feb)
2870;-4.0(31);-3.9(28);-3.3(03);1.2(05);4.3(17);11.9(02);;11.2(28);7.5(23);5.9(24);0.1(26);-3.2(19);
C929I;15.9(28);14.4(11);15.9(07);16.2(08);18.1(26);19.2(10);22.3(01);22.6(05);22.1(05);20.9(29);18.3(28);16.3(27);14.4(11/feb)
C430E;-3.4(31);-4.8(17);2.7(03);-0.6(04);-1.4(23);4.8(01);11.4(07);10.4(05);3.6(04);1.9(24);-0.2(07);-2.6(24);-4.8(17/feb)
C139E;13.9(29);12.4(16);15.4(08);14.8(07);16.6(24);18.7(03);20.8(09);20.7(08);20.6(20);19.4(24);17.6(28);15.5(23);12.4(16/feb)
C449C;13.6(30);13.2(05);16.2(05);16.2(15);17.3(25);20.0(10);21.1(30);22.5(09);21.7(03);20.8(29);17.5(29);15.7(23);13.2(05/feb)
C447A;8.9(30);5.3(25);9.7(06);9.5(15);10.4(26);13.2(11);14.8(30);16.1(08);15.5(10);13.7(19);11.0(28);9.9(23);5.3(25/feb)
C429I;13.0(29);11.1(01);14.0(02);14.7(07);15.4(27);18.0(10);19.6(10);20.4(29);19.4(05);19.0(30);16.3(28);13.0(27);11.1(01/feb)
2465;-4.9(29);-5.0(24);-4.1(02);-0.3(05);1.0(17);9.5(02);10.6(25);8.8(28);7.0(23);5.0(21);-0.4(23);-5.1(25);-5.1(25/dic)
5796;-2.3(26);0.0(01);-1.5(02);4.7(07);11.4(14);15.5(03);16.1(28);16.0(27);12.9(23);11.3(21);2.5(25);0.8(19);-2.3(26/ene)
5783;-0.8(26);0.2(02);0.1(03);7.3(07);12.4(19);16.2(02);17.8(28);17.6(04);13.0(23);10.6(24);3.2(26);;
2030;-8.1(30);-9.6(24);-6.2(02);-1.5(03);4.0(02);8.2(04);10.6(26);8.4(31);5.6(23);3.8(22);-1.6(26);-7.9(25);-9.6(24/feb)
0016A;-4.0(23);-1.5(11);-2.6(01);3.4(05);8.6(14);13.4(02);16.2(01);15.9(27);12.5(24);9.3(22);2.6(23);-0.2(27);-4.0(23/ene)
9981A;2.6(31);-0.6(12);1.7(05);6.0(05);11.7(12);14.5(02);19.8(07);17.9(27);12.9(24);9.8(22);6.4(26);0.3(28);-0.6(12/feb)
9381I;-9.4(30);-11.8(28);-8.1(04);-6.2(05);-0.7(17);8.5(03);9.7(26);6.8(05);4.0(23);2.3(31);-5.1(24);-6.8(27);-11.8(28/feb)
8368U;-9.0(30);-7.1(04);-8.0(04);-4.0(05);1.2(17);8.9(03);11.3(26);8.2(30);4.5(23);1.0(31);-4.5(24);-7.4(27);-9.0(30/ene)
3260B;-4.8(31);-2.9(01);-3.2(01);3.9(03);7.3(13);13.5(03);17.3(25);14.9(28);11.1(23);8.1(21);0.3(24);-2.4(27);-4.8(31/ene)
8416;1.9(31);3.5(27);4.0(02);8.7(04);12.7(13);17.3(02);20.5(04);19.8(28);15.8(23);12.3(22);7.6(24);3.7(28);1.9(31/ene)
8414A;-1.2(27);0.1(01);0.2(02);5.6(04);10.8(13);15.8(02);19.1(03);18.0(05);13.8(23);9.5(22);4.0(24);-0.4(27);-1.2(27/ene)
2422;-4.1(31);-3.8(11);-3.8(03);-0.8(05);4.3(13);10.0(02);11.8(25);10.3(04);7.6(23);5.1(31);1.7(07);-3.6(27);-4.1(31/ene)
2539;;-7.5(24);;-5.2(05);0.7(13);7.7(02);8.8(25);6.6(04);5.3(23);3.6(31);-1.6(26);-5.1(27);
2614;-4.8(23);-4.8(28);-4.3(02);-1.3(05);3.8(17);10.9(02);12.2(16);11.4(04);8.2(23);6.1(31);0.5(26);-2.1(22);-4.8(23/ene)
9390;-9.2(30);-10.7(28);-9.5(01);-4.3(05);2.4(02);8.9(03);10.3(26);8.3(05);6.1(23);2.9(31);-3.8(26);-6.4(26);-10.7(28/feb)
9434;-2.4(30);-2.2(12);-0.2(05);5.2(05);10.6(12);14.9(02);17.2(28);15.6(07);11.8(24);9.8(22);2.6(26);-3.1(26);-3.1(26/dic)
