Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
0076;14.0;14.0;18.2;19.4;21.8;;29.2;29.8;27.0;24.5;18.9;;
1082;13.0;14.5;19.7;19.4;21.3;25.8;26.0;27.9;28.2;25.5;18.2;15.5;21.3
2331;6.3;9.9;14.9;19.7;19.5;24.7;29.7;30.4;25.4;21.1;12.7;8.3;18.6
3469A;11.9;14.0;19.5;25.6;25.1;30.7;34.9;35.8;28.1;24.9;16.9;12.1;23.3
5973;16.3;16.8;20.1;23.3;23.7;27.9;28.3;30.3;26.7;25.4;21.0;17.5;23.1
5960;17.0;19.0;23.6;28.6;28.4;32.7;35.7;;30.1;28.1;22.3;;
5910;16.7;18.1;21.7;25.7;25.5;29.9;30.8;33.5;28.3;26.9;21.8;18.0;24.7
6001;15.7;15.2;;20.6;22.0;24.8;27.0;27.6;25.0;23.4;19.8;17.5;
1111;13.2;12.8;17.0;16.0;18.3;22.2;23.1;23.9;24.2;22.1;17.6;14.6;18.8
1109;13.6;13.7;18.3;18.0;20.4;24.3;;25.6;26.1;23.4;18.2;15.3;
8500A;16.2;15.2;21.3;22.1;24.1;28.8;31.4;32.3;28.0;26.3;21.7;17.6;23.8
5000C;16.5;15.8;20.4;22.9;23.8;26.1;31.8;30.6;26.6;24.3;21.6;18.5;23.2
4121;11.0;14.4;20.6;26.5;25.7;31.5;37.2;36.9;28.1;24.5;16.8;12.2;23.8
5402;15.4;18.2;23.5;30.1;29.5;34.3;39.3;40.1;31.6;28.1;;15.7;
8096;11.0;13.0;18.5;23.9;23.2;27.6;34.6;34.6;27.0;22.9;16.0;13.0;22.1
1024E;10.7;11.7;16.9;15.7;17.8;22.4;22.7;23.5;24.8;22.3;16.2;13.2;18.2
1014;12.6;14.0;19.2;18.0;21.1;25.3;25.7;26.4;27.0;24.4;18.2;15.3;20.6
0367;14.3;15.7;;22.7;24.8;;33.5;33.6;29.8;27.0;;16.7;
5530E;14.0;16.6;22.5;28.2;26.7;31.4;39.0;38.8;30.9;;20.3;15.5;
5514;13.4;15.9;21.8;26.7;25.2;30.3;37.5;37.3;29.7;25.5;19.6;15.3;24.9
3013;8.3;11.3;16.3;21.5;20.9;25.8;31.2;31.2;25.3;20.6;13.8;10.0;19.7
4642E;17.2;18.4;22.7;27.9;27.3;31.0;34.3;36.6;29.0;26.8;22.2;17.6;25.9
9898;9.1;12.0;18.3;22.7;25.2;29.1;33.3;33.4;27.9;23.3;15.4;11.3;21.8
5270B;12.1;14.5;20.2;26.2;25.6;30.9;37.0;37.0;28.7;24.9;17.7;13.0;24.0
9170;10.1;11.6;17.9;22.4;23.8;27.2;30.2;33.7;27.3;22.7;15.2;10.4;21.0
C249I;21.3;20.6;22.6;24.3;;28.3;;;27.6;28.6;;;
C649I;21.6;;;24.8;;27.5;28.7;;;29.7;26.1;;
C029O;22.2;21.2;26.3;26.2;26.5;28.7;30.4;32.3;29.5;;26.6;23.2;
2661;8.2;11.7;15.1;20.7;21.1;;28.7;30.2;23.6;19.7;13.6;7.9;
1549;9.6;14.3;17.3;22.8;23.8;27.2;29.6;31.5;25.7;22.2;14.6;8.5;20.6
9771C;10.0;13.7;21.1;24.9;26.9;31.2;34.9;35.1;30.0;25.7;18.2;11.6;23.6
1505;10.7;13.6;16.7;21.1;21.3;25.2;25.7;27.4;25.1;21.6;14.8;10.7;19.5
3191E;8.8;10.3;15.5;21.2;21.2;25.8;31.4;32.1;22.8;19.3;13.2;9.6;19.3
3129;11.4;14.1;19.1;25.1;25.1;30.1;36.0;36.0;26.6;23.5;16.0;12.0;22.9
3196;11.2;13.3;18.6;24.4;24.0;29.6;34.8;35.2;26.1;23.0;15.8;11.9;22.3
3200;11.5;13.9;19.0;24.8;24.6;30.0;35.3;35.6;26.6;23.6;16.2;12.0;22.8
3195;10.0;12.3;17.9;23.8;23.8;29.2;34.7;35.2;25.5;21.8;14.6;10.6;21.6
3175;11.3;14.0;19.2;24.5;24.5;29.9;35.5;;26.5;23.7;16.1;12.0;
2462;2.5;4.2;8.8;13.7;13.7;18.6;24.2;25.2;17.0;13.7;8.5;7.0;13.1
6155A;17.8;17.4;23.0;25.0;24.8;29.3;34.3;;29.1;25.9;22.9;18.8;
6000A;17.7;16.6;21.0;23.4;24.1;26.9;32.3;31.5;27.1;25.6;22.5;20.1;24.1
7178I;18.3;16.5;25.4;27.8;27.1;32.0;36.8;36.8;30.9;28.7;24.7;19.8;27.1
7228;17.5;16.1;25.3;27.9;27.1;32.2;37.0;36.9;30.9;28.6;24.1;19.2;26.9
7031;16.9;14.8;21.4;23.0;23.4;27.6;31.4;31.7;28.1;25.9;22.5;18.1;23.7
9263D;;11.8;17.7;19.8;21.5;27.1;29.7;;;23.6;;;
9262;8.5;11.8;17.3;19.3;20.9;26.6;28.8;;26.7;22.8;;11.1;
1690A;13.6;17.2;19.8;24.8;25.6;28.8;30.7;32.7;27.7;24.7;17.4;13.2;23.0
1484C;;16.9;16.8;20.7;;26.1;26.8;28.1;25.8;22.7;16.8;13.6;
1495;12.4;15.9;15.5;;22.1;24.4;24.9;26.8;24.2;21.6;15.6;12.7;
2867;9.1;12.1;16.9;22.0;22.8;27.9;32.1;33.3;27.3;23.5;15.4;9.3;21.0
2870;9.9;12.8;17.4;22.6;22.9;27.9;;33.1;26.5;23.1;15.6;10.3;
C929I;21.2;20.9;23.1;22.9;23.7;26.3;26.4;27.7;27.1;29.7;25.4;23.4;24.8
C430E;6.1;4.3;15.2;14.3;13.7;18.7;23.9;23.9;18.0;17.2;13.9;11.8;15.1
C139E;21.0;20.6;23.5;22.8;23.5;25.4;25.9;27.6;26.7;27.9;24.5;22.6;24.3
C449C;21.8;21.7;25.1;25.1;25.7;27.8;29.8;30.6;28.3;29.5;26.1;23.9;26.3
C447A;16.5;15.8;22.6;21.3;21.3;24.5;25.3;29.1;24.1;27.2;22.2;19.2;22.4
C429I;22.7;21.9;26.6;25.9;26.4;28.0;29.9;31.5;28.8;32.4;27.5;24.6;27.2
2465;7.7;10.1;15.2;20.0;20.4;25.5;31.0;31.5;24.3;21.1;13.5;9.6;19.2
5796;16.4;19.2;24.0;29.3;29.3;34.2;37.8;38.9;30.6;28.1;21.5;16.9;27.2
5783;15.6;18.3;23.5;29.5;28.9;33.2;37.6;38.8;30.1;28.0;21.1;;
2030;8.9;11.4;16.0;20.3;20.0;24.7;31.0;31.9;24.7;21.2;13.9;11.4;19.6
0016A;14.9;15.2;19.6;21.8;24.4;28.9;31.6;32.5;28.3;25.1;20.5;17.2;23.3
9981A;16.0;16.3;22.6;25.8;27.7;31.8;35.2;35.7;30.1;27.1;22.1;17.4;25.7
9381I;8.6;11.3;17.7;21.9;21.2;26.4;33.1;32.7;27.4;23.0;16.0;11.2;20.9
8368U;10.3;12.5;19.1;23.6;22.2;27.3;34.2;34.2;28.0;24.2;17.6;12.9;22.2
3260B;12.0;14.7;20.5;26.3;25.9;31.3;36.9;37.2;28.3;25.0;17.4;12.5;24.0
8416;17.0;15.8;22.3;22.6;23.2;28.1;30.8;32.0;28.0;26.5;23.3;19.2;24.1
8414A;16.8;15.6;22.8;24.1;24.4;29.7;32.4;33.5;28.5;26.9;23.4;19.1;24.8
2422;8.3;11.8;16.8;22.5;22.9;28.2;32.4;33.1;26.4;22.3;13.9;8.0;20.6
2539;;10.9;;20.7;21.6;26.8;31.0;31.6;24.9;21.2;13.5;7.9;
2614;9.3;12.4;17.3;23.0;24.2;28.8;32.7;33.9;26.7;22.5;14.2;8.3;21.1
9390;9.7;11.8;18.4;22.6;22.3;27.0;33.0;33.0;27.7;23.4;16.3;11.5;21.4
9434;10.8;13.1;21.1;24.0;25.5;30.3;33.6;34.3;29.3;25.6;18.7;12.8;23.3
