Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
5973;19.6(08);19.3(21);24.6(27);29.5(27);29.0(02);35.1(26);31.4(11);35.1(25);31.1(28);30.4(03);25.1(13);20.1(11);35.1(26/jun)
5960;21.1(01);22.6(21);28.9(27);36.3(26);34.7(09);42.1(26);41.0(10);;35.7(29);36.4(01);27.9(14);;
5910;20.6(01);21.6(05);27.0(28);31.5(26);32.5(02);39.0(25);34.5(17);40.9(06);34.5(29);33.8(01);27.4(14);21.7(12);40.9(06/ago)
6001;18.7(09);17.0(21);;29.2(25);24.5(10);27.8(27);30.8(09);31.6(26);27.8(06);27.5(17);23.1(13);19.7(11);
1111;21.5(01);18.2(14);28.4(29);20.0(26);30.0(03);27.2(09);26.4(07);37.9(23);32.4(05);31.5(02);24.2(13);20.0(09);37.9(23/ago)
1109;22.0(01);19.4(15);29.0(29);21.8(26);33.9(03);30.5(24);;40.6(23);33.4(05);35.1(02);24.5(13);20.5(09);
8500A;24.0(08);19.9(21);30.8(11);26.4(25);28.4(31);32.8(25);34.1(19);38.0(23);30.5(30);30.7(18);28.1(02);22.3(10);38.0(23/ago)
5000C;20.9(10);21.5(22);27.4(26);29.7(10);33.1(09);34.6(29);40.8(19);39.9(11);29.7(11);28.7(14);27.0(12);23.7(12);40.8(19/jul)
4121;17.1(01);21.7(20);29.5(29);35.1(27);32.3(03);39.9(26);42.7(17);42.3(09);34.2(01);33.2(01);21.9(14);17.9(12);42.7(17/jul)
5402;19.5(05);23.5(20);30.0(29);38.8(27);36.1(09);42.6(26);44.5(17);45.0(11);37.7(29);37.6(06);;21.2(10);
8096;18.2(01);20.2(05);26.5(29);32.3(28);28.9(02);36.2(25);40.0(18);40.4(09);32.2(29);32.9(01);23.6(19);17.3(27);40.4(09/ago)
1024E;21.4(01);21.3(20);27.0(29);22.6(27);30.2(03);28.1(08);34.3(14);35.7(23);32.4(09);31.7(02);23.2(13);19.0(10);35.7(23/ago)
1014;23.6(01);20.6(21);30.0(29);24.6(27);33.4(03);31.0(09);37.1(14);36.0(23);34.1(07);33.4(02);27.1(13);21.5(27);37.1(14/jul)
0367;19.6(14);25.2(04);;28.3(29);30.1(27);;40.3(18);42.5(23);33.5(05);31.4(01);;20.5(22);
5530E;18.6(03);23.7(20);29.3(29);36.9(27);34.2(09);39.6(25);44.2(10);44.3(09);35.7(29);;27.7(15);22.7(12);
5514;18.3(01);22.4(21);27.8(29);35.2(28);32.0(09);37.8(26);42.8(10);42.8(09);33.1(29);33.7(06);26.5(14);21.5(12);42.8(10/jul)
3013;17.1(01);20.2(20);24.5(29);29.6(28);27.6(02);32.9(25);36.1(17);37.4(21);30.3(30);29.9(01);20.1(19);13.9(27);37.4(21/ago)
4642E;20.5(09);22.0(18);28.1(27);35.8(26);33.7(02);39.5(25);39.5(12);41.3(10);35.4(28);34.6(05);27.6(15);21.9(11);41.3(10/ago)
9898;17.2(01);19.6(20);24.3(13);29.4(27);30.0(06);37.2(25);40.8(18);39.9(23);32.4(09);32.4(01);20.4(13);16.5(10);40.8(18/jul)
5270B;17.6(01);23.4(20);27.0(29);35.0(27);32.2(03);39.9(26);43.5(10);41.3(08);34.7(30);33.7(02);24.3(14);19.8(12);43.5(10/jul)
9170;18.3(01);20.0(19);23.9(13);30.1(27);30.9(02);35.9(25);36.9(14);43.3(24);33.7(01);31.4(01);20.8(13);16.5(11);43.3(24/ago)
C249I;22.7(03);24.8(26);27.2(29);27.9(26);;35.5(28);;;29.8(02);32.5(09);;;
C649I;24.2(01);;;29.8(29);;33.7(28);33.6(14);;;35.0(09);31.6(15);;
C029O;24.4(14);24.6(20);34.4(30);31.0(29);30.3(09);37.1(28);35.1(13);40.5(12);31.0(17);;31.9(13);27.1(09);
2661;12.4(08);18.3(04);22.4(29);27.9(27);26.6(03);;33.6(18);37.5(22);29.8(30);29.7(01);18.3(24);15.0(10);
1549;15.5(01);20.5(19);24.6(29);28.5(27);29.3(02);34.7(24);33.4(10);41.0(23);31.7(30);32.6(01);20.3(14);18.5(10);41.0(23/ago)
9771C;15.4(02);22.2(20);27.7(13);31.0(28);31.4(06);38.9(25);43.2(18);41.4(22);35.1(04);34.1(01);23.4(16);20.5(22);43.2(18/jul)
1505;14.7(04);19.8(18);24.4(29);28.1(27);29.3(02);34.0(24);30.6(10);39.7(23);32.3(30);32.8(07);21.0(18);16.1(11);39.7(23/ago)
3191E;12.5(01);16.5(04);22.0(29);28.4(27);26.6(08);33.4(26);35.6(17);36.7(09);28.4(01);28.5(01);17.8(12);12.7(15);36.7(09/ago)
3129;16.4(01);20.0(05);26.6(29);32.5(28);31.3(03);38.7(25);40.7(18);40.8(21);32.8(01);33.2(08);21.1(19);15.0(22);40.8(21/ago)
3196;15.4(01);19.1(19);26.0(29);31.8(28);30.6(03);38.0(25);39.8(17);39.6(21);32.2(01);32.2(01);20.4(19);15.0(23);39.8(17/jul)
3200;15.0(01);20.3(20);26.4(29);32.6(28);31.4(03);38.6(25);40.2(17);40.2(21);32.6(01);32.6(01);20.5(19);15.2(22);40.2(17/jul)
3195;14.8(01);19.0(20);25.2(29);30.9(28);29.1(03);37.0(25);38.7(17);40.0(21);31.6(01);30.1(06);18.6(12);13.1(15);40.0(21/ago)
3175;17.3(01);20.9(20);26.2(29);31.4(27);30.8(03);38.0(25);40.1(17);;32.7(01);32.6(01);20.6(12);15.5(01);
2462;11.5(05);12.1(05);16.9(28);22.5(27);20.7(02);26.5(26);29.5(18);31.3(09);24.2(30);23.9(01);18.4(18);14.2(17);31.3(09/ago)
6155A;22.1(09);22.1(22);31.3(31);34.3(29);32.0(15);35.4(27);44.2(19);;33.0(12);29.9(14);28.0(12);29.4(12);
6000A;24.4(08);21.9(18);27.5(31);29.9(26);32.4(09);33.3(30);39.9(19);38.8(19);30.8(05);29.0(19);27.6(02);27.8(12);39.9(19/jul)
7178I;24.7(09);24.3(22);33.0(30);35.5(29);34.1(09);38.3(25);43.8(19);43.3(10);33.8(05);33.9(01);30.4(14);27.2(12);43.8(19/jul)
7228;24.3(09);23.4(22);32.5(30);35.0(25);34.5(09);38.4(25);43.9(19);42.8(10);33.5(05);34.2(01);29.0(02);26.0(11);43.9(19/jul)
7031;24.5(09);19.0(22);29.2(31);32.0(29);28.0(15);31.0(22);36.0(21);36.1(10);30.5(05);30.0(18);27.8(12);23.5(10);36.1(10/ago)
9263D;;20.0(20);26.1(29);28.4(27);30.5(03);34.2(17);37.1(18);;;32.5(01);;;
9262;18.6(01);19.4(20);25.0(29);27.0(27);30.1(03);33.4(17);36.3(18);;33.3(01);31.4(01);;16.8(11);
1690A;17.7(13);24.3(18);26.3(29);31.8(27);32.3(02);37.2(24);34.8(17);42.1(23);35.8(30);35.3(07);23.9(12);19.1(10);42.1(23/ago)
1484C;;23.1(17);23.0(29);27.4(17);;31.8(06);32.8(02);37.5(22);34.5(30);33.6(09);22.3(12);17.6(10);
1495;15.7(04);21.5(17);21.6(29);;29.1(23);29.8(23);31.0(02);36.7(22);32.5(30);31.5(09);19.4(12);16.7(10);
2867;16.9(01);18.2(20);24.5(28);30.4(28);29.2(03);35.9(25);37.5(18);41.1(22);34.4(30);34.8(01);21.7(18);16.4(11);41.1(22/ago)
2870;16.9(01);18.2(18);25.7(28);30.3(27);29.2(02);36.7(25);;40.1(22);33.6(30);34.3(01);21.6(18);18.0(11);
C929I;23.2(01);23.6(26);29.1(26);24.9(30);27.0(28);29.2(06);28.8(13);33.5(20);29.2(16);35.4(10);32.4(15);26.2(11);35.4(10/oct)
C430E;9.7(25);12.9(28);18.9(15);19.0(29);20.0(02);26.0(28);29.2(31);28.1(11);22.5(06);22.4(01);17.3(11);18.0(04);29.2(31/jul)
C139E;23.2(01);22.2(28);29.1(31);26.3(01);26.4(01);28.6(06);29.1(14);32.6(20);28.5(08);32.7(07);30.2(21);25.8(11);32.7(07/oct)
C449C;24.7(01);24.7(28);32.4(29);29.5(10);29.4(10);37.0(29);35.8(14);38.3(22);30.7(02);34.1(06);31.0(15);28.0(11);38.3(22/ago)
C447A;20.4(02);18.5(27);29.7(29);27.1(10);29.0(02);38.1(28);39.7(13);40.9(11);28.6(07);34.1(08);29.8(15);24.9(10);40.9(11/ago)
C429I;25.3(14);23.5(28);37.7(30);33.2(10);31.9(09);32.7(29);38.1(13);36.2(14);29.9(26);39.4(03);33.7(15);28.6(09);39.4(03/oct)
2465;15.7(01);17.0(19);23.1(29);28.0(27);26.9(03);33.9(25);36.3(18);38.4(09);30.1(01);30.3(01);21.1(18);16.4(11);38.4(09/ago)
5796;20.6(01);23.4(18);30.4(29);37.4(27);36.5(09);43.7(26);43.2(10);43.5(11);37.0(29);36.7(01);27.2(14);20.9(11);43.7(26/jun)
5783;19.4(09);22.4(19);29.8(30);36.9(27);35.9(09);42.0(26);41.7(12);43.7(11);37.1(29);37.4(06);27.1(15);;
2030;15.7(05);19.1(20);24.4(29);30.0(28);27.3(03);32.7(25);36.5(18);38.9(09);31.2(30);31.8(01);22.2(19);17.9(18);38.9(09/ago)
0016A;18.7(03);21.3(04);27.4(31);28.6(12);28.6(01);34.1(22);38.8(24);38.2(23);34.5(04);28.6(01);27.0(14);22.3(10);38.8(24/jul)
9981A;20.8(15);23.0(20);30.9(31);33.7(25);33.0(09);38.6(26);40.9(19);43.9(23);33.5(30);32.1(01);28.1(13);24.9(11);43.9(23/ago)
9381I;15.9(01);21.1(20);27.1(29);32.1(28);29.9(03);34.2(25);38.9(18);39.8(09);32.7(10);32.8(01);23.2(19);16.1(11);39.8(09/ago)
8368U;17.7(08);21.4(20);27.0(29);32.9(28);29.4(03);34.8(25);40.6(18);41.1(09);33.2(09);33.2(02);25.9(19);19.8(12);41.1(09/ago)
3260B;16.0(01);20.3(21);28.0(29);34.5(27);32.8(03);39.9(25);42.9(17);42.1(21);34.4(01);34.1(01);21.2(13);16.9(12);42.9(17/jul)
8416;23.2(09);22.2(04);31.2(30);31.5(12);27.3(31);32.6(09);35.1(24);44.5(10);31.2(30);30.3(01);30.0(14);27.3(11);44.5(10/ago)
8414A;22.1(08);20.7(04);32.2(30);31.8(12);28.5(09);34.3(25);39.5(24);46.8(10);32.0(30);32.3(01);29.4(14);27.7(11);46.8(10/ago)
2422;18.0(01);18.3(19);25.7(29);30.1(27);29.8(03);37.1(25);37.2(18);40.0(22);32.9(30);33.3(02);17.9(18);14.9(11);40.0(22/ago)
2539;;17.4(19);;28.3(27);28.9(03);35.4(25);36.2(18);39.2(22);31.4(30);32.0(02);18.4(18);14.3(09);
2614;16.3(01);18.4(20);25.7(28);30.1(27);30.3(03);37.1(25);37.1(10);41.1(22);32.7(30);33.2(01);19.2(17);15.9(10);41.1(22/ago)
9390;17.7(01);20.3(20);27.3(29);32.7(28);31.1(03);35.2(25);40.5(18);40.7(09);34.3(30);33.8(01);21.9(19);17.2(10);40.7(09/ago)
9434;15.9(10);19.5(20);28.7(13);30.8(27);31.5(06);38.2(25);41.8(18);41.7(24);34.4(01);33.9(01);24.5(13);20.1(11);41.8(18/jul)
