Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1082;24.4(01);21.7(28);22.7(01);26.3(26);34.2(18);40.9(18);41.2(17);39.6(11);39.4(11);30.4(28);24.2(13);23.2(31);41.2(17/jul)
2331;18.4(01);17.3(02);18.3(15);21.8(29);31.1(21);37.3(17);39.3(18);36.7(02);33.7(11);29.0(03);18.5(12);14.8(31);39.3(18/jul)
3469A;19.8(01);20.8(22);19.4(27);27.2(17);35.3(20);40.0(12);43.4(14);41.1(01);35.7(11);32.1(04);23.0(02);17.6(13);43.4(14/jul)
5973;19.9(31);22.3(22);20.3(01);26.9(17);30.1(18);34.0(13);37.3(23);36.1(13);29.8(11);28.5(14);23.7(01);21.0(26);37.3(23/jul)
5960;22.9(30);26.9(22);;;36.0(20);;44.5(25);40.7(21);38.6(11);35.0(26);27.1(12);22.8(31);
5910;21.7(31);25.2(22);22.6(01);29.4(17);33.4(19);37.6(13);40.0(25);37.9(13);34.1(11);31.5(14);25.8(01);21.7(26);40.0(25/jul)
6001;16.5(04);16.9(23);19.1(02);23.8(17);;28.5(17);34.1(25);32.5(13);;27.2(26);22.9(02);20.5(12);
1111;23.3(01);17.0(18);22.0(20);27.2(11);27.0(16);32.6(17);28.8(13);27.0(11);33.5(12);28.4(29);23.5(13);20.7(31);33.5(12/sep)
1109;24.4(01);19.5(26);23.8(27);28.5(11);28.5(16);34.0(18);35.8(17);31.0(10);35.3(11);29.8(18);24.5(13);21.6(31);35.8(17/jul)
8500A;25.6(04);22.4(17);20.5(12);27.9(08);31.4(23);36.9(17);35.2(15);37.9(13);32.3(05);29.3(21);25.5(23);24.5(25);37.9(13/ago)
5000C;21.3(10);21.7(17);;29.1(17);28.7(16);32.3(09);39.0(26);38.3(22);34.9(08);26.9(04);25.0(05);22.3(12);
4121;18.6(03);21.0(18);19.2(28);27.5(16);36.8(21);40.3(17);40.7(14);39.5(02);35.8(11);31.3(18);24.1(12);19.0(25);40.7(14/jul)
5402;21.7(01);25.0(22);22.8(20);30.0(17);40.6(20);42.2(12);44.2(24);42.6(02);40.6(11);34.1(04);26.7(01);21.3(11);44.2(24/jul)
8096;23.2(01);24.0(02);19.3(01);26.3(17);33.0(18);39.2(15);40.9(14);37.4(02);34.8(11);30.2(04);22.3(07);19.0(26);40.9(14/jul)
1014;24.5(01);20.8(09);23.2(15);28.0(11);35.4(18);42.7(18);40.4(18);35.5(11);34.0(11);30.9(19);24.8(13);23.0(30);42.7(18/jun)
1024E;22.6(01);19.4(09);20.0(15);24.8(11);32.0(18);39.7(18);38.3(18);33.0(10);33.9(11);28.0(19);22.0(13);20.0(31);39.7(18/jun)
0367;24.6(04);;21.0(28);28.8(16);37.3(22);40.8(17);39.6(15);40.6(12);34.3(13);28.7(24);;23.5(25);
5530E;20.9(01);24.6(22);20.0(02);28.5(17);39.1(20);42.1(14);41.9(24);41.5(12);37.8(11);35.3(18);27.9(01);21.4(25);42.1(14/jun)
5514;22.3(01);22.8(17);19.5(28);27.2(17);38.5(21);40.3(13);40.4(24);39.9(12);37.2(11);33.8(18);27.5(01);21.1(24);40.4(24/jul)
3013;18.9(01);20.3(02);18.7(28);25.3(17);32.5(21);35.8(15);36.8(16);34.8(02);32.5(12);27.5(02);19.9(02);15.9(24);36.8(16/jul)
4642E;23.2(31);26.7(22);22.7(02);30.6(17);37.3(20);38.8(15);43.9(25);38.7(21);34.6(09);31.6(14);25.7(01);22.6(27);43.9(25/jul)
9898;16.3(31);21.4(17);18.9(30);25.8(16);34.3(21);40.0(16);41.0(16);39.3(12);35.3(12);29.2(03);20.5(01);17.2(31);41.0(16/jul)
5270B;20.4(01);22.4(23);19.8(28);26.8(17);40.3(20);41.7(12);41.6(13);40.1(03);37.6(11);31.8(18);25.2(01);19.4(20);41.7(12/jun)
9170;17.1(30);20.1(18);19.1(01);24.9(15);34.5(21);41.0(18);42.0(16);39.6(12);34.8(11);30.8(04);22.5(01);19.8(25);42.0(16/jul)
C249I;24.4(22);25.9(02);24.9(27);27.3(17);29.5(31);28.9(09);39.3(10);33.7(21);31.3(02);28.8(07);30.8(13);26.8(14);39.3(10/jul)
C649I;;26.9(08);;30.8(17);32.8(10);27.7(15);36.5(24);31.5(22);30.7(17);29.3(28);30.2(13);;
C029O;25.3(01);29.3(02);25.0(01);32.5(17);;30.2(08);;34.7(20);;32.5(04);29.9(16);;
2661;17.3(30);18.6(02);16.6(15);25.2(16);31.0(20);35.1(15);38.2(17);35.8(02);30.6(11);;17.3(12);;
1549;17.0(28);19.9(22);20.9(15);28.1(16);33.7(20);36.9(13);41.5(17);39.3(02);32.8(11);29.7(03);19.6(13);18.6(31);41.5(17/jul)
9771C;19.8(10);22.3(18);21.0(28);26.6(16);36.8(22);41.4(15);40.8(16);40.4(12);35.7(12);31.0(27);24.3(01);19.2(23);41.4(15/jun)
1505;21.3(01);20.1(23);21.9(27);26.3(16);29.2(09);32.4(14);38.7(17);;33.5(11);29.5(03);20.0(11);17.3(31);
3191E;18.0(01);18.6(02);15.5(01);23.3(16);30.1(20);36.3(15);38.9(14);36.4(01);31.3(11);27.4(04);17.7(02);13.7(26);38.9(14/jul)
3129;18.1(29);20.9(02);18.3(01);26.4(16);35.4(21);40.5(15);42.2(14);39.6(01);35.6(11);31.4(04);21.9(02);17.0(26);42.2(14/jul)
3196;19.0(01);20.5(02);18.3(01);26.5(16);34.2(20);40.0(17);41.5(14);38.8(02);34.9(11);30.4(04);22.0(02);16.6(26);41.5(14/jul)
3200;18.8(01);21.4(02);18.4(01);26.8(16);35.4(19);40.6(17);42.0(14);39.5(01);35.6(11);31.0(04);22.5(02);18.0(26);42.0(14/jul)
3195;16.7(01);19.5(22);;26.4(16);33.5(19);38.9(17);;38.4(02);34.0(11);28.9(04);;15.2(26);
3175;19.0(30);21.7(22);20.3(10);25.7(16);;40.3(17);42.4(14);39.2(02);35.6(11);30.7(04);21.6(02);17.5(26);
2462;13.7(01);16.8(02);11.0(01);15.9(18);24.7(20);30.0(15);33.4(14);30.3(02);25.4(10);21.6(03);13.7(05);11.5(23);33.4(14/jul)
6155A;24.5(31);24.1(03);23.8(03);33.1(17);34.7(23);37.8(08);40.7(26);39.2(13);37.3(07);30.8(16);26.7(04);24.0(12);40.7(26/jul)
6000A;22.3(04);22.0(04);;;28.4(17);32.9(08);39.7(26);35.4(22);33.5(09);36.8(25);30.3(12);25.4(14);
7178I;24.6(31);25.6(03);23.1(02);28.6(16);36.5(29);39.3(17);45.1(25);41.1(21);37.8(09);31.4(14);28.8(01);25.8(24);45.1(25/jul)
7228;24.4(31);25.5(18);22.8(01);29.7(17);36.9(29);39.4(17);45.1(25);41.0(21);37.9(02);30.5(14);28.5(01);25.5(13);45.1(25/jul)
7031;24.6(31);23.0(21);22.5(14);25.0(16);32.0(29);33.5(08);39.0(25);40.2(13);33.0(02);28.8(24);27.2(17);22.5(22);40.2(13/ago)
9263D;16.6(04);19.6(02);19.7(15);24.6(15);35.3(21);40.8(17);42.3(17);40.8(12);37.0(11);30.0(04);21.8(17);18.4(23);42.3(17/jul)
9262;;19.3(02);19.3(15);23.3(15);35.0(21);;40.2(17);39.0(12);35.6(11);28.8(03);21.3(13);18.3(23);
1690A;22.5(01);24.8(22);24.3(24);30.9(16);36.3(28);36.2(15);44.1(14);41.3(09);;;;19.8(22);
1484C;23.2(01);22.1(23);24.9(24);24.1(29);33.3(27);31.6(13);38.8(12);36.5(01);32.0(18);28.0(06);21.8(12);18.4(08);38.8(12/jul)
1495;;20.5(23);22.7(24);;32.0(27);;38.1(12);;31.3(18);27.2(08);21.0(11);16.8(12);
2867;21.7(01);18.9(09);18.6(15);24.3(16);32.7(20);38.0(13);40.9(14);38.2(01);34.8(11);30.0(02);19.5(12);16.1(26);40.9(14/jul)
2870;21.7(01);19.3(10);20.1(15);25.4(16);33.0(20);37.6(13);40.8(14);38.8(02);34.1(11);29.7(02);20.3(12);16.5(26);40.8(14/jul)
C929I;26.9(01);26.9(10);23.2(26);23.9(03);26.7(31);25.4(14);29.9(25);31.5(21);30.3(12);27.4(05);26.3(15);25.7(10);31.5(21/ago)
C430E;13.4(01);12.7(10);13.8(11);18.2(10);21.7(26);24.1(18);27.2(08);27.2(07);21.4(04);20.3(03);17.0(01);14.9(10);27.2(08/jul)
C139E;26.6(14);27.9(10);22.5(13);24.8(18);26.4(31);25.6(14);31.2(26);31.7(21);29.0(17);27.4(05);27.2(15);28.7(13);31.7(21/ago)
C449C;25.9(01);26.6(10);24.4(11);26.9(17);28.8(10);32.6(10);39.3(10);36.6(21);31.5(02);29.0(04);28.6(16);26.5(20);39.3(10/jul)
C447A;24.8(01);23.7(11);18.3(28);;29.3(10);29.0(09);38.5(26);37.2(21);27.5(02);28.4(28);27.0(16);26.6(13);
C429I;29.1(01);27.3(01);23.7(02);34.9(17);34.7(10);28.8(09);37.0(24);34.3(22);30.4(18);33.3(04);31.8(14);27.2(05);37.0(24/jul)
2465;20.1(01);17.8(23);17.8(15);21.7(18);32.6(20);36.4(17);38.2(14);35.6(01);32.3(11);28.1(03);18.7(02);16.8(31);38.2(14/jul)
5796;23.0(30);27.6(22);22.7(28);30.3(17);38.7(20);42.7(12);45.2(13);41.5(02);39.8(11);35.4(27);27.9(02);23.4(25);45.2(13/jul)
5783;21.8(31);25.4(22);22.0(02);30.1(17);41.0(20);42.6(12);44.8(13);40.3(02);37.9(11);33.1(04);26.0(01);;
2030;19.0(01);22.2(02);17.1(01);24.1(17);32.2(20);36.8(18);38.7(13);36.3(02);33.1(11);29.8(03);18.6(02);15.0(26);38.7(13/jul)
0016A;21.0(01);22.0(02);21.0(27);27.7(15);33.4(28);34.8(17);34.8(15);38.4(13);32.4(09);28.8(14);25.6(01);23.7(23);38.4(13/ago)
9981A;21.1(30);25.3(02);21.9(27);29.4(16);34.2(28);39.8(15);39.5(15);40.2(13);36.3(02);32.6(14);27.9(01);23.1(22);40.2(13/ago)
9381I;18.2(30);21.5(18);19.0(01);24.4(11);35.7(21);38.7(17);38.9(18);37.1(11);34.9(11);29.2(18);22.6(07);18.7(24);38.9(18/jul)
8368U;20.6(01);24.8(18);20.0(01);25.7(17);33.6(21);38.4(13);39.7(24);39.1(12);35.8(11);29.3(02);22.5(06);20.2(24);39.7(24/jul)
3260B;;21.4(22);19.9(01);27.4(16);36.5(19);41.8(17);42.5(13);40.6(04);38.1(11);33.1(04);24.3(02);19.6(25);
8416;24.4(04);24.5(21);23.6(02);27.2(16);32.6(23);36.6(17);35.7(16);38.0(13);36.6(02);30.5(14);28.2(01);25.2(25);38.0(13/ago)
8414A;23.5(04);25.5(18);24.0(02);27.7(16);34.4(23);39.3(17);38.0(16);40.7(14);37.3(02);31.6(14);28.3(01);24.7(24);40.7(14/ago)
2422;16.3(01);17.9(23);18.7(15);23.8(16);34.5(21);39.1(17);41.1(15);38.4(02);35.3(11);29.2(03);19.6(12);15.3(31);41.1(15/jul)
2539;16.8(01);18.2(02);17.4(15);22.2(16);32.0(21);38.4(17);39.6(17);37.7(02);33.4(11);28.2(03);18.8(12);14.2(31);39.6(17/jul)
2614;17.3(03);17.7(28);18.7(27);26.4(16);33.7(20);38.8(17);41.8(14);39.2(02);34.8(11);29.6(04);19.2(12);16.2(31);41.8(14/jul)
9390;19.5(01);20.8(18);19.9(01);24.9(11);36.2(21);39.2(17);39.6(18);38.1(12);35.8(11);30.5(28);23.1(02);18.2(24);39.6(18/jul)
9434;17.2(04);20.5(02);19.5(01);25.8(16);35.3(21);41.2(15);41.9(17);41.8(12);35.2(11);29.6(16);24.1(01);18.9(30);41.9(17/jul)
