FECHA;INDICATIVO;EVAPORACION
01-04-2016;2867;1144
01-05-2016;2867;1514
01-06-2016;2867;2671
01-07-2016;2867;3111
01-08-2016;2867;2756
01-09-2016;2867;2072
01-10-2016;2867;1221
01-11-2016;2867;519
01-12-2016;2867;167
01-01-2016;C929I;580
01-02-2016;C929I;613
01-03-2016;C929I;724
01-04-2016;C929I;688
01-05-2016;C929I;738
01-06-2016;C929I;670
01-07-2016;C929I;686
01-08-2016;C929I;650
01-09-2016;C929I;666
01-10-2016;C929I;0
01-11-2016;C929I;708
01-12-2016;C929I;688
01-01-2016;C447A;1108
01-02-2016;C447A;761
01-03-2016;C447A;882
01-04-2016;C447A;718
01-05-2016;C447A;981
01-06-2016;C447A;1251
01-07-2016;C447A;0
01-08-2016;C447A;0
01-09-2016;C447A;1430
01-10-2016;C447A;1015
01-11-2016;C447A;578
01-12-2016;C447A;913
01-01-2016;2465;392
01-02-2016;2465;468
01-03-2016;2465;730
01-04-2016;2465;0
01-05-2016;2465;1388
01-06-2016;2465;2025
01-07-2016;2465;0
01-08-2016;2465;0
01-09-2016;2465;0
01-10-2016;2465;0
01-11-2016;2465;662
01-12-2016;2465;427
01-01-2016;5796;717
01-02-2016;5796;958
01-03-2016;5796;1289
01-04-2016;5796;1410
01-05-2016;5796;1910
01-06-2016;5796;2841
01-07-2016;5796;3682
01-08-2016;5796;3927
01-09-2016;5796;2889
01-10-2016;5796;1571
01-11-2016;5796;915
01-12-2016;5796;703
01-01-2016;5783;604
01-02-2016;5783;1053
01-03-2016;5783;1355
01-04-2016;5783;1440
01-05-2016;5783;0
01-06-2016;5783;2906
01-07-2016;5783;3531
01-08-2016;5783;0
01-09-2016;5783;2913
01-10-2016;5783;1730
01-11-2016;5783;1169
01-12-2016;5783;999
01-01-2016;0016A;792
01-02-2016;0016A;996
01-03-2016;0016A;1140
01-04-2016;0016A;912
01-05-2016;0016A;1102
01-06-2016;0016A;1233
01-07-2016;0016A;1523
01-08-2016;0016A;1285
01-09-2016;0016A;1222
01-10-2016;0016A;504
01-11-2016;0016A;636
01-12-2016;0016A;421
01-01-2016;9981A;883
01-02-2016;9981A;1215
01-03-2016;9981A;1314
01-04-2016;9981A;1283
01-05-2016;9981A;1528
01-06-2016;9981A;2062
01-07-2016;9981A;2360
01-08-2016;9981A;2225
01-09-2016;9981A;1605
01-10-2016;9981A;873
01-11-2016;9981A;853
01-12-2016;9981A;406
01-01-2016;8368U;0
01-02-2016;8368U;0
01-03-2016;8368U;0
01-04-2016;8368U;0
01-05-2016;8368U;0
01-06-2016;8368U;0
01-07-2016;8368U;0
01-08-2016;8368U;0
01-09-2016;8368U;0
01-10-2016;8368U;0
01-11-2016;8368U;736
01-12-2016;8368U;0
01-01-2016;8414A;961
01-02-2016;8414A;1236
01-03-2016;8414A;1157
01-04-2016;8414A;1145
01-05-2016;8414A;1244
01-06-2016;8414A;1429
01-07-2016;8414A;1385
01-08-2016;8414A;1220
01-09-2016;8414A;1114
01-10-2016;8414A;696
01-11-2016;8414A;728
01-12-2016;8414A;385
01-01-2016;2422;232
01-02-2016;2422;475
01-03-2016;2422;709
01-04-2016;2422;671
01-05-2016;2422;1052
01-06-2016;2422;1855
01-07-2016;2422;2593
01-08-2016;2422;2483
01-09-2016;2422;1609
01-10-2016;2422;852
01-11-2016;2422;318
01-12-2016;2422;134
01-01-2016;2539;323
01-02-2016;2539;484
01-03-2016;2539;731
01-04-2016;2539;840
01-05-2016;2539;1090
01-06-2016;2539;2198
01-07-2016;2539;3246
01-08-2016;2539;3397
01-09-2016;2539;2214
01-10-2016;2539;1175
01-11-2016;2539;424
01-12-2016;2539;144
01-01-2016;2614;254
01-02-2016;2614;0
01-03-2016;2614;567
01-04-2016;2614;473
01-05-2016;2614;843
01-06-2016;2614;1225
01-07-2016;2614;0
01-08-2016;2614;0
01-09-2016;2614;0
01-10-2016;2614;0
01-11-2016;2614;0
01-12-2016;2614;0
01-01-2016;9390;851
01-02-2016;9390;807
01-03-2016;9390;879
01-04-2016;9390;1265
01-05-2016;9390;1789
01-06-2016;9390;2336
01-07-2016;9390;2843
01-08-2016;9390;2439
01-09-2016;9390;1739
01-10-2016;9390;1029
01-11-2016;9390;594
01-12-2016;9390;202
01-01-2016;9434;880
01-02-2016;9434;1331
01-03-2016;9434;1568
01-04-2016;9434;1903
01-05-2016;9434;2553
01-06-2016;9434;0
01-07-2016;9434;3820
01-08-2016;9434;3907
01-09-2016;9434;2639
01-10-2016;9434;1509
01-11-2016;9434;918
01-12-2016;9434;302
01-01-2017;1387;460
01-02-2017;1387;492
01-03-2017;1387;663
01-04-2017;1387;846
01-05-2017;1387;685
01-06-2017;1387;648
01-07-2017;1387;726
01-08-2017;1387;746
01-09-2017;1387;638
01-10-2017;1387;637
01-11-2017;1387;484
01-12-2017;1387;439
01-01-2017;8175;656
01-02-2017;8175;922
01-03-2017;8175;1418
01-04-2017;8175;1728
01-05-2017;8175;2726
01-06-2017;8175;3848
01-07-2017;8175;3807
01-08-2017;8175;3184
01-09-2017;8175;2381
01-10-2017;8175;1627
01-11-2017;8175;1099
01-12-2017;8175;725
01-01-2017;8025;730
01-02-2017;8025;794
01-03-2017;8025;893
01-04-2017;8025;0
01-05-2017;8025;1260
01-06-2017;8025;0
01-07-2017;8025;1588
01-08-2017;8025;0
01-09-2017;8025;0
01-10-2017;8025;933
01-11-2017;8025;757
01-12-2017;8025;906
01-01-2017;6325O;987
01-02-2017;6325O;1153
01-03-2017;6325O;1223
01-04-2017;6325O;1263
01-05-2017;6325O;0
01-06-2017;6325O;1816
01-07-2017;6325O;1643
01-08-2017;6325O;1476
01-09-2017;6325O;1378
01-10-2017;6325O;1270
01-11-2017;6325O;1041
01-12-2017;6325O;1047
01-01-2017;9091O;238
01-02-2017;9091O;0
01-03-2017;9091O;947
01-04-2017;9091O;1006
01-05-2017;9091O;1364
01-06-2017;9091O;1042
01-07-2017;9091O;1578
01-08-2017;9091O;1551
01-09-2017;9091O;944
01-10-2017;9091O;860
01-11-2017;9091O;500
01-12-2017;9091O;349
01-01-2017;1212E;451
01-02-2017;1212E;647
01-03-2017;1212E;771
01-04-2017;1212E;810
01-05-2017;1212E;816
01-06-2017;1212E;723
01-07-2017;1212E;687
01-08-2017;1212E;747
01-09-2017;1212E;730
01-10-2017;1212E;775
01-11-2017;1212E;592
01-12-2017;1212E;676
01-01-2017;1208H;701
01-02-2017;1208H;857
01-03-2017;1208H;891
01-04-2017;1208H;765
01-05-2017;1208H;0
01-06-2017;1208H;808
01-07-2017;1208H;854
01-08-2017;1208H;819
01-09-2017;1208H;901
01-10-2017;1208H;798
01-11-2017;1208H;1025
01-12-2017;1208H;990
01-01-2017;1249I;365
01-02-2017;1249I;576
01-03-2017;1249I;719
01-04-2017;1249I;707
01-05-2017;1249I;578
01-06-2017;1249I;575
01-07-2017;1249I;651
01-08-2017;1249I;600
01-09-2017;1249I;473
01-10-2017;1249I;683
01-11-2017;1249I;394
01-12-2017;1249I;481
01-01-2017;2444;0
01-02-2017;2444;558
01-03-2017;2444;948
01-04-2017;2444;0
01-05-2017;2444;1564
01-06-2017;2444;0
01-07-2017;2444;0
01-08-2017;2444;0
01-09-2017;2444;1570
01-10-2017;2444;0
01-11-2017;2444;605
01-12-2017;2444;0
01-01-2017;4452;477
01-02-2017;4452;1083
01-03-2017;4452;2013
01-04-2017;4452;1645
01-05-2017;4452;1824
01-06-2017;4452;2520
01-07-2017;4452;2888
01-08-2017;4452;2579
01-09-2017;4452;2371
01-10-2017;4452;1783
01-11-2017;4452;1249
01-12-2017;4452;470
01-01-2017;B954;0
01-02-2017;B954;731
01-03-2017;B954;785
01-04-2017;B954;1129
01-05-2017;B954;1507
01-06-2017;B954;1654
01-07-2017;B954;1571
01-08-2017;B954;1495
01-09-2017;B954;1168
01-10-2017;B954;881
01-11-2017;B954;0
01-12-2017;B954;758
01-01-2017;B893;1012
01-02-2017;B893;0
01-03-2017;B893;1039
01-04-2017;B893;1184
01-05-2017;B893;1344
01-06-2017;B893;1690
01-07-2017;B893;1508
01-08-2017;B893;1582
01-09-2017;B893;1305
01-10-2017;B893;1097
01-11-2017;B893;1050
01-12-2017;B893;0
01-01-2017;B228;866
01-02-2017;B228;847
01-03-2017;B228;1190
01-04-2017;B228;1120
01-05-2017;B228;1223
01-06-2017;B228;1514
01-07-2017;B228;1580
01-08-2017;B228;1465
01-09-2017;B228;1196
01-10-2017;B228;813
01-11-2017;B228;712
01-12-2017;B228;913
01-01-2017;B278;713
01-02-2017;B278;0
01-03-2017;B278;1332
01-04-2017;B278;1308
01-05-2017;B278;1685
01-06-2017;B278;1997
01-07-2017;B278;2073
01-08-2017;B278;2160
01-09-2017;B278;1297
01-10-2017;B278;951
01-11-2017;B278;727
01-12-2017;B278;983
01-01-2017;0200E;1212
01-02-2017;0200E;1060
01-03-2017;0200E;1526
01-04-2017;0200E;1472
01-05-2017;0200E;1629
01-06-2017;0200E;2269
01-07-2017;0200E;1562
