FECHA;INDICATIVO;TEMP_sup_30
01-09-2016;1111;0
01-10-2016;1111;0
01-11-2016;1111;0
01-12-2016;1111;0
01-01-2016;1109;0
01-02-2016;1109;0
01-03-2016;1109;0
01-04-2016;1109;0
01-05-2016;1109;0
01-06-2016;1109;0
01-07-2016;1109;0
01-08-2016;1109;0
01-09-2016;1109;0
01-10-2016;1109;0
01-11-2016;1109;0
01-12-2016;1109;0
01-01-2016;8500A;0
01-02-2016;8500A;0
01-03-2016;8500A;0
01-04-2016;8500A;0
01-05-2016;8500A;0
01-06-2016;8500A;5
01-07-2016;8500A;21
01-08-2016;8500A;24
01-09-2016;8500A;11
01-10-2016;8500A;0
01-11-2016;8500A;0
01-12-2016;8500A;0
01-01-2016;5000C;0
01-02-2016;5000C;0
01-03-2016;5000C;0
01-04-2016;5000C;0
01-05-2016;5000C;0
01-06-2016;5000C;5
01-07-2016;5000C;8
01-08-2016;5000C;9
01-09-2016;5000C;6
01-10-2016;5000C;1
01-11-2016;5000C;0
01-12-2016;5000C;0
01-01-2016;4121;0
01-02-2016;4121;0
01-03-2016;4121;0
01-04-2016;4121;0
01-05-2016;4121;1
01-06-2016;4121;23
01-07-2016;4121;31
01-08-2016;4121;31
01-09-2016;4121;13
01-10-2016;4121;0
01-11-2016;4121;0
01-12-2016;4121;0
01-01-2016;5402;0
01-02-2016;5402;0
01-03-2016;5402;0
01-04-2016;5402;0
01-05-2016;5402;9
01-06-2016;5402;26
01-07-2016;5402;0
01-08-2016;5402;0
01-09-2016;5402;26
01-10-2016;5402;10
01-11-2016;5402;0
01-12-2016;5402;0
01-01-2016;8096;0
01-02-2016;8096;0
01-03-2016;8096;0
01-04-2016;8096;0
01-05-2016;8096;0
01-06-2016;8096;15
01-07-2016;8096;28
01-08-2016;8096;28
01-09-2016;8096;12
01-10-2016;8096;0
01-11-2016;8096;0
01-12-2016;8096;0
01-01-2016;1014;0
01-02-2016;1014;0
01-03-2016;1014;0
01-04-2016;1014;0
01-05-2016;1014;1
01-06-2016;1014;1
01-07-2016;1014;2
01-08-2016;1014;7
01-09-2016;1014;3
01-10-2016;1014;0
01-11-2016;1014;0
01-12-2016;1014;0
01-01-2016;1024E;0
01-02-2016;1024E;0
01-03-2016;1024E;0
01-04-2016;1024E;0
01-05-2016;1024E;0
01-06-2016;1024E;1
01-07-2016;1024E;2
01-08-2016;1024E;4
01-09-2016;1024E;2
01-10-2016;1024E;0
01-11-2016;1024E;0
01-12-2016;1024E;0
01-01-2016;0367;0
01-02-2016;0367;0
01-03-2016;0367;0
01-04-2016;0367;0
01-05-2016;0367;0
01-06-2016;0367;9
01-07-2016;0367;0
01-08-2016;0367;28
01-09-2016;0367;13
01-10-2016;0367;0
01-11-2016;0367;0
01-12-2016;0367;0
01-01-2016;5530E;0
01-02-2016;5530E;0
01-03-2016;5530E;0
01-04-2016;5530E;0
01-05-2016;5530E;8
01-06-2016;5530E;26
01-07-2016;5530E;31
01-08-2016;5530E;31
01-09-2016;5530E;24
01-10-2016;5530E;8
01-11-2016;5530E;0
01-12-2016;5530E;0
01-01-2016;5514;0
01-02-2016;5514;0
01-03-2016;5514;0
01-04-2016;5514;0
01-05-2016;5514;1
01-06-2016;5514;22
01-07-2016;5514;31
01-08-2016;5514;30
01-09-2016;5514;14
01-10-2016;5514;4
01-11-2016;5514;0
01-12-2016;5514;0
01-01-2016;3013;0
01-02-2016;3013;0
01-03-2016;3013;0
