Fecha;INDICATIVO;DIAS_SOL
01-10-2016;1024E;6
01-11-2016;1024E;1
01-12-2016;1024E;6
01-01-2016;0367;2
01-02-2016;0367;4
01-03-2016;0367;3
01-04-2016;0367;1
01-05-2016;0367;3
01-06-2016;0367;5
01-07-2016;0367;0
01-08-2016;0367;14
01-09-2016;0367;7
01-10-2016;0367;1
01-11-2016;0367;5
01-12-2016;0367;9
01-01-2016;5530E;1
01-02-2016;5530E;3
01-03-2016;5530E;9
01-04-2016;5530E;4
01-05-2016;5530E;9
01-06-2016;5530E;14
01-07-2016;5530E;24
01-08-2016;5530E;22
01-09-2016;5530E;11
01-10-2016;5530E;6
01-11-2016;5530E;5
01-12-2016;5530E;10
01-01-2016;5514;2
01-02-2016;5514;4
01-03-2016;5514;9
01-04-2016;5514;7
01-05-2016;5514;8
01-06-2016;5514;18
01-07-2016;5514;23
01-08-2016;5514;22
01-09-2016;5514;15
01-10-2016;5514;7
01-11-2016;5514;10
01-12-2016;5514;16
01-01-2016;9170;1
01-02-2016;9170;4
01-03-2016;9170;0
01-04-2016;9170;1
01-05-2016;9170;3
01-06-2016;9170;5
01-07-2016;9170;14
01-08-2016;9170;12
01-09-2016;9170;4
01-10-2016;9170;8
01-11-2016;9170;2
01-12-2016;9170;0
01-01-2016;C249I;2
01-02-2016;C249I;0
01-03-2016;C249I;0
01-04-2016;C249I;5
01-05-2016;C249I;3
01-06-2016;C249I;14
01-07-2016;C249I;14
01-08-2016;C249I;17
01-09-2016;C249I;5
01-10-2016;C249I;3
01-11-2016;C249I;1
01-12-2016;C249I;6
01-01-2016;C649I;4
01-02-2016;C649I;1
01-03-2016;C649I;0
01-04-2016;C649I;1
01-05-2016;C649I;1
01-06-2016;C649I;9
01-07-2016;C649I;12
01-08-2016;C649I;18
01-09-2016;C649I;7
01-10-2016;C649I;2
01-11-2016;C649I;2
01-12-2016;C649I;0
01-01-2016;C029O;7
01-02-2016;C029O;1
01-03-2016;C029O;4
01-04-2016;C029O;2
01-05-2016;C029O;3
01-06-2016;C029O;14
01-07-2016;C029O;13
01-08-2016;C029O;21
01-09-2016;C029O;8
01-10-2016;C029O;3
01-11-2016;C029O;1
01-12-2016;C029O;7
01-01-2016;9771C;3
01-02-2016;9771C;8
01-03-2016;9771C;5
01-04-2016;9771C;7
01-05-2016;9771C;8
01-06-2016;9771C;11
01-07-2016;9771C;16
01-08-2016;9771C;15
01-09-2016;9771C;10
01-10-2016;9771C;1
01-11-2016;9771C;7
01-12-2016;9771C;2
01-01-2016;3191E;3
01-02-2016;3191E;7
01-03-2016;3191E;3
01-04-2016;3191E;5
01-05-2016;3191E;7
01-06-2016;3191E;10
01-07-2016;3191E;17
01-08-2016;3191E;18
