FECHA;INDICATIVO;DIAS_NIE
01-07-2017;5530E;0
01-08-2017;5530E;0
01-09-2017;5530E;0
01-10-2017;5530E;0
01-11-2017;5530E;0
01-12-2017;5530E;0
01-01-2017;5514;0
01-02-2017;5514;0
01-03-2017;5514;0
01-04-2017;5514;0
01-05-2017;5514;0
01-06-2017;5514;0
01-07-2017;5514;0
01-08-2017;5514;0
01-09-2017;5514;0
01-10-2017;5514;0
01-11-2017;5514;0
01-12-2017;5514;0
01-01-2017;3013;7
01-02-2017;3013;2
01-03-2017;3013;0
01-04-2017;3013;0
01-05-2017;3013;0
01-06-2017;3013;0
01-07-2017;3013;0
01-08-2017;3013;0
01-09-2017;3013;0
01-10-2017;3013;0
01-11-2017;3013;0
01-12-2017;3013;3
01-01-2017;4642E;0
01-02-2017;4642E;0
01-03-2017;4642E;0
01-04-2017;4642E;0
01-05-2017;4642E;0
01-06-2017;4642E;0
01-07-2017;4642E;0
01-08-2017;4642E;0
01-09-2017;4642E;0
01-10-2017;4642E;0
01-11-2017;4642E;0
01-12-2017;4642E;0
01-01-2017;9898;0
01-02-2017;9898;0
01-03-2017;9898;1
01-04-2017;9898;0
01-05-2017;9898;0
01-06-2017;9898;0
01-07-2017;9898;0
01-08-2017;9898;0
01-09-2017;9898;0
01-10-2017;9898;0
01-11-2017;9898;0
01-12-2017;9898;0
01-01-2017;5270B;1
01-02-2017;5270B;0
01-03-2017;5270B;0
01-04-2017;5270B;0
01-05-2017;5270B;0
01-06-2017;5270B;0
01-07-2017;5270B;0
01-08-2017;5270B;0
01-09-2017;5270B;0
01-10-2017;5270B;0
01-11-2017;5270B;0
01-12-2017;5270B;0
01-01-2017;9170;0
01-02-2017;9170;0
01-03-2017;9170;0
01-04-2017;9170;0
01-05-2017;9170;0
01-06-2017;9170;0
01-07-2017;9170;0
01-08-2017;9170;0
01-09-2017;9170;0
01-10-2017;9170;0
01-11-2017;9170;0
01-12-2017;9170;2
01-01-2017;C249I;0
01-02-2017;C249I;0
01-03-2017;C249I;0
01-04-2017;C249I;0
01-05-2017;C249I;0
01-06-2017;C249I;0
01-07-2017;C249I;0
01-08-2017;C249I;0
01-09-2017;C249I;0
01-10-2017;C249I;0
01-11-2017;C249I;0
01-12-2017;C249I;0
01-01-2017;C649I;0
01-02-2017;C649I;0
01-03-2017;C649I;0
01-04-2017;C649I;0
01-05-2017;C649I;0
01-06-2017;C649I;0
01-07-2017;C649I;0
01-08-2017;C649I;0
01-09-2017;C649I;0
01-10-2017;C649I;0
01-11-2017;C649I;0
01-12-2017;C649I;0
01-01-2017;C029O;0
01-02-2017;C029O;0
01-03-2017;C029O;0
01-04-2017;C029O;0
01-05-2017;C029O;0
01-06-2017;C029O;0
01-07-2017;C029O;0
01-08-2017;C029O;0
01-09-2017;C029O;0
01-10-2017;C029O;0
01-11-2017;C029O;0
01-12-2017;C029O;0
01-01-2017;2661;2
01-02-2017;2661;4
01-03-2017;2661;5
01-04-2017;2661;0
01-05-2017;2661;0
01-06-2017;2661;0
01-07-2017;2661;0
01-08-2017;2661;0
01-09-2017;2661;0
01-10-2017;2661;0
01-11-2017;2661;0
01-12-2017;2661;4
01-01-2017;1549;0
01-02-2017;1549;0
01-03-2017;1549;2
01-04-2017;1549;0
01-05-2017;1549;0
01-06-2017;1549;0
01-07-2017;1549;0
01-08-2017;1549;0
01-09-2017;1549;0
01-10-2017;1549;0
01-11-2017;1549;0
01-12-2017;1549;0
01-01-2017;9771C;0
01-02-2017;9771C;0
01-03-2017;9771C;1
01-04-2017;9771C;0
01-05-2017;9771C;0
01-06-2017;9771C;0
01-07-2017;9771C;0
01-08-2017;9771C;0
01-09-2017;9771C;0
01-10-2017;9771C;0
01-11-2017;9771C;0
01-12-2017;9771C;0
01-01-2017;1505;0
01-02-2017;1505;0
01-03-2017;1505;2
01-04-2017;1505;0
01-05-2017;1505;0
01-06-2017;1505;0
01-07-2017;1505;0
01-08-2017;1505;0
01-09-2017;1505;0
01-10-2017;1505;0
01-11-2017;1505;0
01-12-2017;1505;0
01-01-2017;3191E;4
01-02-2017;3191E;3
01-03-2017;3191E;3
01-04-2017;3191E;0
01-05-2017;3191E;0
01-06-2017;3191E;0
01-07-2017;3191E;0
01-08-2017;3191E;0
01-09-2017;3191E;0
01-10-2017;3191E;0
01-11-2017;3191E;0
01-12-2017;3191E;2
01-01-2017;3129;0
01-02-2017;3129;1
01-03-2017;3129;2
01-04-2017;3129;0
01-05-2017;3129;0
01-06-2017;3129;0
01-07-2017;3129;0
01-08-2017;3129;0
01-09-2017;3129;0
01-10-2017;3129;0
01-11-2017;3129;0
01-12-2017;3129;0
01-01-2017;3196;0
01-02-2017;3196;1
01-03-2017;3196;2
01-04-2017;3196;0
01-05-2017;3196;0
01-06-2017;3196;0
01-07-2017;3196;0
01-08-2017;3196;0
01-09-2017;3196;0
01-10-2017;3196;0
01-11-2017;3196;0
01-12-2017;3196;0
01-01-2017;3200;0
01-02-2017;3200;1
01-03-2017;3200;1
01-04-2017;3200;0
01-05-2017;3200;0
01-06-2017;3200;0
01-07-2017;3200;0
01-08-2017;3200;0
01-09-2017;3200;0
01-10-2017;3200;0
01-11-2017;3200;0
01-12-2017;3200;0
01-01-2017;3195;0
01-02-2017;3195;0
01-03-2017;3195;1
01-04-2017;3195;0
01-05-2017;3195;0
01-06-2017;3195;0
01-07-2017;3195;0
01-08-2017;3195;0
01-09-2017;3195;0
01-10-2017;3195;0
01-11-2017;3195;0
01-12-2017;3195;0
01-01-2017;3175;0
01-02-2017;3175;1
01-03-2017;3175;1
01-04-2017;3175;1
01-05-2017;3175;0
01-06-2017;3175;0
01-07-2017;3175;0
01-08-2017;3175;0
01-09-2017;3175;0
01-10-2017;3175;0
01-11-2017;3175;0
01-12-2017;3175;0
01-01-2017;2462;10
01-02-2017;2462;10
01-03-2017;2462;9
01-04-2017;2462;3
01-05-2017;2462;1
01-06-2017;2462;0
01-07-2017;2462;0
01-08-2017;2462;0
01-09-2017;2462;0
01-10-2017;2462;0
01-11-2017;2462;3
01-12-2017;2462;9
01-01-2017;6155A;0
01-02-2017;6155A;0
01-03-2017;6155A;0
01-04-2017;6155A;0
01-05-2017;6155A;0
01-06-2017;6155A;0
01-07-2017;6155A;0
01-08-2017;6155A;0
01-09-2017;6155A;0
01-10-2017;6155A;0
01-11-2017;6155A;0
01-12-2017;6155A;0
01-01-2017;6000A;0
01-02-2017;6000A;0
01-03-2017;6000A;0
01-04-2017;6000A;0
01-05-2017;6000A;0
01-06-2017;6000A;0
01-07-2017;6000A;0
01-08-2017;6000A;0
01-09-2017;6000A;0
01-10-2017;6000A;0
01-11-2017;6000A;0
01-12-2017;6000A;0
01-01-2017;7178I;1
01-02-2017;7178I;0
