FECHA;INDICATIVO;INSOLACION%
01-11-2020;1549;47
01-12-2020;1549;19
01-01-2020;9771C;19
01-02-2020;9771C;72
01-03-2020;9771C;61
01-04-2020;9771C;53
01-05-2020;9771C;71
01-06-2020;9771C;0
01-07-2020;9771C;86
01-08-2020;9771C;81
01-09-2020;9771C;79
01-10-2020;9771C;77
01-11-2020;9771C;43
01-12-2020;9771C;47
01-01-2020;1505;30
01-02-2020;1505;42
01-03-2020;1505;46
01-04-2020;1505;30
01-05-2020;1505;57
01-06-2020;1505;40
01-07-2020;1505;59
01-08-2020;1505;51
01-09-2020;1505;58
01-10-2020;1505;35
01-11-2020;1505;42
01-12-2020;1505;17
01-01-2020;3191E;46
01-02-2020;3191E;0
01-03-2020;3191E;0
01-04-2020;3191E;0
01-05-2020;3191E;62
01-06-2020;3191E;72
01-07-2020;3191E;78
01-08-2020;3191E;79
01-09-2020;3191E;68
01-10-2020;3191E;62
01-11-2020;3191E;41
01-12-2020;3191E;48
01-01-2020;3129;0
01-02-2020;3129;0
01-03-2020;3129;0
01-04-2020;3129;38
01-05-2020;3129;64
01-06-2020;3129;0
01-07-2020;3129;0
01-08-2020;3129;0
01-09-2020;3129;66
01-10-2020;3129;59
01-11-2020;3129;42
01-12-2020;3129;44
01-01-2020;3196;50
01-02-2020;3196;60
01-03-2020;3196;50
01-04-2020;3196;48
01-05-2020;3196;69
01-06-2020;3196;80
01-07-2020;3196;81
01-08-2020;3196;83
01-09-2020;3196;72
01-10-2020;3196;67
01-11-2020;3196;46
01-12-2020;3196;48
01-01-2020;3200;49
01-02-2020;3200;57
01-03-2020;3200;49
01-04-2020;3200;47
01-05-2020;3200;66
01-06-2020;3200;77
01-07-2020;3200;83
01-08-2020;3200;83
01-09-2020;3200;74
01-10-2020;3200;68
01-11-2020;3200;45
01-12-2020;3200;48
01-01-2020;3175;49
01-02-2020;3175;57
01-03-2020;3175;47
01-04-2020;3175;44
01-05-2020;3175;68
01-06-2020;3175;78
01-07-2020;3175;83
01-08-2020;3175;84
01-09-2020;3175;69
01-10-2020;3175;62
01-11-2020;3175;43
01-12-2020;3175;40
01-01-2020;2462;39
01-02-2020;2462;59
01-03-2020;2462;34
01-04-2020;2462;26
01-05-2020;2462;58
01-06-2020;2462;63
01-07-2020;2462;82
01-08-2020;2462;81
01-09-2020;2462;59
01-10-2020;2462;43
01-11-2020;2462;41
01-12-2020;2462;19
01-01-2020;6155A;53
01-02-2020;6155A;67
01-03-2020;6155A;49
01-04-2020;6155A;41
01-05-2020;6155A;70
01-06-2020;6155A;0
01-07-2020;6155A;80
01-08-2020;6155A;83
01-09-2020;6155A;68
01-10-2020;6155A;72
01-11-2020;6155A;49
01-12-2020;6155A;61
01-01-2020;6000A;66
01-02-2020;6000A;63
01-03-2020;6000A;53
01-04-2020;6000A;0
01-05-2020;6000A;60
01-06-2020;6000A;78
01-07-2020;6000A;63
01-08-2020;6000A;77
01-09-2020;6000A;65
01-10-2020;6000A;0
01-11-2020;6000A;64
01-12-2020;6000A;60
01-01-2020;7178I;65
01-02-2020;7178I;74
01-03-2020;7178I;56
01-04-2020;7178I;55
01-05-2020;7178I;79
01-06-2020;7178I;80
01-07-2020;7178I;86
01-08-2020;7178I;86
01-09-2020;7178I;79
01-10-2020;7178I;80
01-11-2020;7178I;71
01-12-2020;7178I;74
01-01-2020;7228;65
01-02-2020;7228;71
01-03-2020;7228;50
01-04-2020;7228;50
01-05-2020;7228;75
01-06-2020;7228;80
01-07-2020;7228;82
01-08-2020;7228;83
01-09-2020;7228;68
01-10-2020;7228;77
01-11-2020;7228;69
01-12-2020;7228;75
01-01-2020;7031;0
01-02-2020;7031;74
01-03-2020;7031;50
01-04-2020;7031;0
01-05-2020;7031;74
01-06-2020;7031;79
01-07-2020;7031;79
01-08-2020;7031;0
01-09-2020;7031;68
01-10-2020;7031;74
01-11-2020;7031;64
01-12-2020;7031;70
01-01-2020;9263D;41
01-02-2020;9263D;59
01-03-2020;9263D;40
01-04-2020;9263D;31
01-05-2020;9263D;0
01-06-2020;9263D;0
01-07-2020;9263D;70
01-08-2020;9263D;64
01-09-2020;9263D;63
01-10-2020;9263D;40
01-11-2020;9263D;48
01-12-2020;9263D;20
01-01-2020;1690A;28
01-02-2020;1690A;44
01-03-2020;1690A;48
01-04-2020;1690A;28
01-05-2020;1690A;0
01-06-2020;1690A;0
01-07-2020;1690A;79
01-08-2020;1690A;62
01-09-2020;1690A;62
01-10-2020;1690A;34
01-11-2020;1690A;0
01-12-2020;1690A;22
01-01-2020;1484C;42
01-02-2020;1484C;47
01-03-2020;1484C;61
01-04-2020;1484C;40
01-05-2020;1484C;67
01-06-2020;1484C;0
01-07-2020;1484C;87
01-08-2020;1484C;62
01-09-2020;1484C;67
01-10-2020;1484C;40
01-11-2020;1484C;48
01-12-2020;1484C;23
01-01-2020;2867;41
01-02-2020;2867;65
01-03-2020;2867;53
01-04-2020;2867;41
01-05-2020;2867;71
01-06-2020;2867;72
01-07-2020;2867;90
01-08-2020;2867;85
01-09-2020;2867;80
01-10-2020;2867;68
01-11-2020;2867;50
01-12-2020;2867;44
01-01-2020;C929I;65
01-02-2020;C929I;0
01-03-2020;C929I;63
01-04-2020;C929I;68
01-05-2020;C929I;67
01-06-2020;C929I;60
01-07-2020;C929I;58
01-08-2020;C929I;64
01-09-2020;C929I;59
01-10-2020;C929I;63
01-11-2020;C929I;56
01-12-2020;C929I;47
01-01-2020;C430E;86
01-02-2020;C430E;89
01-03-2020;C430E;81
01-04-2020;C430E;84
01-05-2020;C430E;93
01-06-2020;C430E;91
01-07-2020;C430E;93
01-08-2020;C430E;95
01-09-2020;C430E;81
01-10-2020;C430E;82
01-11-2020;C430E;0
01-12-2020;C430E;77
01-01-2020;C139E;54
01-02-2020;C139E;59
01-03-2020;C139E;52
01-04-2020;C139E;49
01-05-2020;C139E;0
01-06-2020;C139E;44
01-07-2020;C139E;63
01-08-2020;C139E;69
01-09-2020;C139E;48
01-10-2020;C139E;42
01-11-2020;C139E;54
01-12-2020;C139E;37
01-01-2020;C449C;69
01-02-2020;C449C;80
01-03-2020;C449C;65
01-04-2020;C449C;0
01-05-2020;C449C;0
01-06-2020;C449C;72
01-07-2020;C449C;89
01-08-2020;C449C;87
01-09-2020;C449C;75
01-10-2020;C449C;66
01-11-2020;C449C;62
01-12-2020;C449C;61
01-01-2020;C447A;40
01-02-2020;C447A;65
01-03-2020;C447A;45
01-04-2020;C447A;51
01-05-2020;C447A;55
01-06-2020;C447A;27
01-07-2020;C447A;64
01-08-2020;C447A;0
01-09-2020;C447A;58
01-10-2020;C447A;0
01-11-2020;C447A;0
01-12-2020;C447A;24
01-01-2020;C429I;78
01-02-2020;C429I;84
01-03-2020;C429I;69
01-04-2020;C429I;63
01-05-2020;C429I;72
01-06-2020;C429I;74
01-07-2020;C429I;86
01-08-2020;C429I;87
01-09-2020;C429I;70
01-10-2020;C429I;71
01-11-2020;C429I;70
01-12-2020;C429I;64
01-01-2020;2465;46
01-02-2020;2465;62
01-03-2020;2465;49
01-04-2020;2465;38
01-05-2020;2465;65
01-06-2020;2465;69
01-07-2020;2465;85
01-08-2020;2465;82
01-09-2020;2465;71
01-10-2020;2465;56
01-11-2020;2465;52
01-12-2020;2465;29
01-01-2020;5796;61
01-02-2020;5796;76
01-03-2020;5796;51
01-04-2020;5796;0
01-05-2020;5796;0
01-06-2020;5796;83
01-07-2020;5796;86
01-08-2020;5796;88
01-09-2020;5796;69
01-10-2020;5796;77
01-11-2020;5796;63
01-12-2020;5796;55
01-01-2020;5783;60
01-02-2020;5783;78
01-03-2020;5783;67
01-04-2020;5783;57
01-05-2020;5783;76
01-06-2020;5783;0
01-07-2020;5783;0
01-08-2020;5783;0
01-09-2020;5783;0
01-10-2020;5783;0
01-11-2020;5783;0
01-12-2020;5783;0
01-01-2020;2030;49
01-02-2020;2030;61
01-03-2020;2030;52
01-04-2020;2030;30
01-05-2020;2030;59
01-06-2020;2030;56
01-07-2020;2030;72
01-08-2020;2030;73
01-09-2020;2030;68
01-10-2020;2030;58
01-11-2020;2030;53
01-12-2020;2030;34
01-01-2020;0016A;63
01-02-2020;0016A;68
01-03-2020;0016A;51
01-04-2020;0016A;47
01-05-2020;0016A;62
01-06-2020;0016A;0
01-07-2020;0016A;80
01-08-2020;0016A;64
01-09-2020;0016A;69
01-10-2020;0016A;69
01-11-2020;0016A;58
01-12-2020;0016A;59
01-01-2020;9981A;60
01-02-2020;9981A;71
01-03-2020;9981A;50
01-04-2020;9981A;41
01-05-2020;9981A;63
01-06-2020;9981A;59
01-07-2020;9981A;77
01-08-2020;9981A;75
01-09-2020;9981A;69
01-10-2020;9981A;71
01-11-2020;9981A;58
01-12-2020;9981A;61
01-01-2020;9381I;51
01-02-2020;9381I;71
01-03-2020;9381I;50
01-04-2020;9381I;38
01-05-2020;9381I;66
01-06-2020;9381I;67
01-07-2020;9381I;79
01-08-2020;9381I;79
01-09-2020;9381I;69
01-10-2020;9381I;65
01-11-2020;9381I;56
01-12-2020;9381I;51
01-01-2020;8368U;52
01-02-2020;8368U;73
01-03-2020;8368U;45
01-04-2020;8368U;46
01-05-2020;8368U;0
01-06-2020;8368U;66
01-07-2020;8368U;74
01-08-2020;8368U;77
01-09-2020;8368U;69
01-10-2020;8368U;67
01-11-2020;8368U;52
01-12-2020;8368U;0
01-01-2020;3260B;49
01-02-2020;3260B;58
01-03-2020;3260B;58
01-04-2020;3260B;51
01-05-2020;3260B;68
01-06-2020;3260B;81
01-07-2020;3260B;86
01-08-2020;3260B;86
01-09-2020;3260B;78
01-10-2020;3260B;75
01-11-2020;3260B;43
01-12-2020;3260B;51
01-01-2020;8416;55
01-02-2020;8416;70
01-03-2020;8416;42
01-04-2020;8416;47
01-05-2020;8416;65
01-06-2020;8416;71
01-07-2020;8416;72
01-08-2020;8416;75
01-09-2020;8416;72
01-10-2020;8416;72
01-11-2020;8416;58
01-12-2020;8416;77
01-01-2020;8414A;60
01-02-2020;8414A;77
01-03-2020;8414A;43
01-04-2020;8414A;49
01-05-2020;8414A;69
01-06-2020;8414A;74
01-07-2020;8414A;73
01-08-2020;8414A;79
01-09-2020;8414A;74
01-10-2020;8414A;76
01-11-2020;8414A;59
01-12-2020;8414A;77
01-01-2020;2422;24
01-02-2020;2422;53
01-03-2020;2422;56
01-04-2020;2422;39
01-05-2020;2422;61
01-06-2020;2422;64
01-07-2020;2422;75
01-08-2020;2422;74
01-09-2020;2422;75
01-10-2020;2422;62
01-11-2020;2422;43
01-12-2020;2422;35
01-01-2020;2539;25
01-02-2020;2539;57
01-03-2020;2539;0
01-04-2020;2539;0
01-05-2020;2539;0
01-06-2020;2539;0
01-07-2020;2539;0
01-08-2020;2539;80
01-09-2020;2539;68
01-10-2020;2539;61
01-11-2020;2539;48
01-12-2020;2539;34
01-01-2020;2614;17
01-02-2020;2614;51
01-03-2020;2614;54
01-04-2020;2614;38
01-05-2020;2614;68
01-06-2020;2614;0
01-07-2020;2614;88
01-08-2020;2614;77
01-09-2020;2614;73
01-10-2020;2614;59
01-11-2020;2614;31
01-12-2020;2614;34
01-01-2020;9390;42
01-02-2020;9390;63
01-03-2020;9390;44
01-04-2020;9390;36
01-05-2020;9390;63
01-06-2020;9390;66
01-07-2020;9390;74
01-08-2020;9390;78
01-09-2020;9390;64
01-10-2020;9390;61
01-11-2020;9390;45
01-12-2020;9390;41
01-01-2020;9434;43
01-02-2020;9434;76
01-03-2020;9434;55
01-04-2020;9434;49
01-05-2020;9434;0
01-06-2020;9434;0
01-07-2020;9434;81
01-08-2020;9434;82
01-09-2020;9434;0
01-10-2020;9434;0
01-11-2020;9434;0
01-12-2020;9434;46
