FECHA;INDICATIVO;LLUVIA_sup_1mm
01-01-2019;9091O;12
01-02-2019;9091O;4
01-03-2019;9091O;8
01-04-2019;9091O;8
01-05-2019;9091O;8
01-06-2019;9091O;4
01-07-2019;9091O;7
01-08-2019;9091O;2
01-09-2019;9091O;6
01-10-2019;9091O;7
01-11-2019;9091O;22
01-12-2019;9091O;10
01-01-2019;1212E;13
01-02-2019;1212E;7
01-03-2019;1212E;8
01-04-2019;1212E;13
01-05-2019;1212E;6
01-06-2019;1212E;13
01-07-2019;1212E;9
01-08-2019;1212E;8
01-09-2019;1212E;6
01-10-2019;1212E;14
01-11-2019;1212E;26
01-12-2019;1212E;13
01-01-2019;1208H;14
01-02-2019;1208H;5
01-03-2019;1208H;10
01-04-2019;1208H;14
01-05-2019;1208H;6
01-06-2019;1208H;9
01-07-2019;1208H;8
01-08-2019;1208H;9
01-09-2019;1208H;7
01-10-2019;1208H;16
01-11-2019;1208H;26
01-12-2019;1208H;13
01-01-2019;1249I;15
01-02-2019;1249I;5
01-03-2019;1249I;7
01-04-2019;1249I;12
01-05-2019;1249I;6
01-06-2019;1249I;11
01-07-2019;1249I;10
01-08-2019;1249I;8
01-09-2019;1249I;7
01-10-2019;1249I;15
01-11-2019;1249I;23
01-12-2019;1249I;14
01-01-2019;2444;5
01-02-2019;2444;1
01-03-2019;2444;3
01-04-2019;2444;9
01-05-2019;2444;1
01-06-2019;2444;1
01-07-2019;2444;1
01-08-2019;2444;4
01-09-2019;2444;5
01-10-2019;2444;8
01-11-2019;2444;12
01-12-2019;2444;5
01-01-2019;4452;2
01-02-2019;4452;1
01-03-2019;4452;4
01-04-2019;4452;13
01-05-2019;4452;1
01-06-2019;4452;0
01-07-2019;4452;0
01-08-2019;4452;0
01-09-2019;4452;1
01-10-2019;4452;4
01-11-2019;4452;11
01-12-2019;4452;6
01-01-2019;B954;4
01-02-2019;B954;1
01-03-2019;B954;3
01-04-2019;B954;6
01-05-2019;B954;2
01-06-2019;B954;0
01-07-2019;B954;0
01-08-2019;B954;2
01-09-2019;B954;5
01-10-2019;B954;4
01-11-2019;B954;3
01-12-2019;B954;4
01-01-2019;B893;9
01-02-2019;B893;0
01-03-2019;B893;2
01-04-2019;B893;7
01-05-2019;B893;1
01-06-2019;B893;0
01-07-2019;B893;1
01-08-2019;B893;1
01-09-2019;B893;3
01-10-2019;B893;7
01-11-2019;B893;15
01-12-2019;B893;3
01-01-2019;B228;6
01-02-2019;B228;2
01-03-2019;B228;4
01-04-2019;B228;4
01-05-2019;B228;2
01-06-2019;B228;0
01-07-2019;B228;1
01-08-2019;B228;1
01-09-2019;B228;6
01-10-2019;B228;5
01-11-2019;B228;14
01-12-2019;B228;4
01-01-2019;B278;4
01-02-2019;B278;2
01-03-2019;B278;3
01-04-2019;B278;5
01-05-2019;B278;2
01-06-2019;B278;0
01-07-2019;B278;2
01-08-2019;B278;1
01-09-2019;B278;6
01-10-2019;B278;6
01-11-2019;B278;14
01-12-2019;B278;4
01-01-2019;0200E;3
01-02-2019;0200E;1
01-03-2019;0200E;0
01-04-2019;0200E;7
01-05-2019;0200E;8
01-06-2019;0200E;2
01-07-2019;0200E;6
01-08-2019;0200E;3
01-09-2019;0200E;6
01-10-2019;0200E;5
01-11-2019;0200E;4
01-12-2019;0200E;5
01-01-2019;0076;3
01-02-2019;0076;0
01-03-2019;0076;0
01-04-2019;0076;7
01-05-2019;0076;7
01-06-2019;0076;2
01-07-2019;0076;4
01-08-2019;0076;3
01-09-2019;0076;7
01-10-2019;0076;4
01-11-2019;0076;4
01-12-2019;0076;4
01-01-2019;1082;18
01-02-2019;1082;6
01-03-2019;1082;8
01-04-2019;1082;12
01-05-2019;1082;14
01-06-2019;1082;6
01-07-2019;1082;7
01-08-2019;1082;5
01-09-2019;1082;10
01-10-2019;1082;14
01-11-2019;1082;24
01-12-2019;1082;12
01-01-2019;2331;6
01-02-2019;2331;2
01-03-2019;2331;2
01-04-2019;2331;13
01-05-2019;2331;7
01-06-2019;2331;4
01-07-2019;2331;7
01-08-2019;2331;2
01-09-2019;2331;6
01-10-2019;2331;6
01-11-2019;2331;20
01-12-2019;2331;6
01-01-2019;3469A;3
01-02-2019;3469A;2
01-03-2019;3469A;3
01-04-2019;3469A;11
01-05-2019;3469A;3
01-06-2019;3469A;1
01-07-2019;3469A;0
01-08-2019;3469A;0
01-09-2019;3469A;2
01-10-2019;3469A;6
01-11-2019;3469A;12
01-12-2019;3469A;8
01-01-2019;5973;4
01-02-2019;5973;0
01-03-2019;5973;2
01-04-2019;5973;9
01-05-2019;5973;0
01-06-2019;5973;0
01-07-2019;5973;0
01-08-2019;5973;0
01-09-2019;5973;1
01-10-2019;5973;3
01-11-2019;5973;9
01-12-2019;5973;5
01-01-2019;5960;4
01-02-2019;5960;0
01-03-2019;5960;4
01-04-2019;5960;8
01-05-2019;5960;0
01-06-2019;5960;1
01-07-2019;5960;0
01-08-2019;5960;0
01-09-2019;5960;3
01-10-2019;5960;4
01-11-2019;5960;9
01-12-2019;5960;5
01-01-2019;5910;4
01-02-2019;5910;0
01-03-2019;5910;3
01-04-2019;5910;11
01-05-2019;5910;0
01-06-2019;5910;0
01-07-2019;5910;0
01-08-2019;5910;0
01-09-2019;5910;1
01-10-2019;5910;2
01-11-2019;5910;10
01-12-2019;5910;4
01-01-2019;6001;6
01-02-2019;6001;2
01-03-2019;6001;0
01-04-2019;6001;0
01-05-2019;6001;0
01-06-2019;6001;0
01-07-2019;6001;0
01-08-2019;6001;0
01-09-2019;6001;1
01-10-2019;6001;4
01-11-2019;6001;14
01-12-2019;6001;0
01-01-2019;1111;18
01-02-2019;1111;7
01-03-2019;1111;8
01-04-2019;1111;10
01-05-2019;1111;10
01-06-2019;1111;7
01-07-2019;1111;9
01-08-2019;1111;7
01-09-2019;1111;5
01-10-2019;1111;12
01-11-2019;1111;25
01-12-2019;1111;12
01-01-2019;1109;17
01-02-2019;1109;5
01-03-2019;1109;9
01-04-2019;1109;10
01-05-2019;1109;10
01-06-2019;1109;9
01-07-2019;1109;9
01-08-2019;1109;8
01-09-2019;1109;5
01-10-2019;1109;15
01-11-2019;1109;25
01-12-2019;1109;13
01-01-2019;8500A;0
01-02-2019;8500A;0
01-03-2019;8500A;1
01-04-2019;8500A;6
01-05-2019;8500A;2
01-06-2019;8500A;0
01-07-2019;8500A;3
01-08-2019;8500A;4
01-09-2019;8500A;5
01-10-2019;8500A;2
01-11-2019;8500A;1
01-12-2019;8500A;3
01-01-2019;5000C;6
01-02-2019;5000C;2
01-03-2019;5000C;2
01-04-2019;5000C;10
01-05-2019;5000C;0
01-06-2019;5000C;0
01-07-2019;5000C;0
01-08-2019;5000C;0
01-09-2019;5000C;1
01-10-2019;5000C;3
01-11-2019;5000C;11
01-12-2019;5000C;10
01-01-2019;4121;3
01-02-2019;4121;1
01-03-2019;4121;1
01-04-2019;4121;16
01-05-2019;4121;1
01-06-2019;4121;0
01-07-2019;4121;1
