FECHA;INDICATIVO;DIAS_NUB
01-12-2020;0076;24
01-01-2020;1082;15
01-02-2020;1082;16
01-03-2020;1082;13
01-04-2020;1082;12
01-05-2020;1082;13
01-06-2020;1082;10
01-07-2020;1082;16
01-08-2020;1082;15
01-09-2020;1082;17
01-10-2020;1082;16
01-11-2020;1082;19
01-12-2020;1082;12
01-01-2020;2331;16
01-02-2020;2331;15
01-03-2020;2331;20
01-04-2020;2331;0
01-05-2020;2331;0
01-06-2020;2331;0
01-07-2020;2331;20
01-08-2020;2331;24
01-09-2020;2331;16
01-10-2020;2331;20
01-11-2020;2331;19
01-12-2020;2331;19
01-01-2020;5960;16
01-02-2020;5960;13
01-03-2020;5960;25
01-04-2020;5960;0
01-05-2020;5960;0
01-06-2020;5960;12
01-07-2020;5960;6
01-08-2020;5960;8
01-09-2020;5960;19
01-10-2020;5960;14
01-11-2020;5960;21
01-12-2020;5960;15
01-01-2020;5910;22
01-02-2020;5910;17
01-03-2020;5910;22
01-04-2020;5910;20
01-05-2020;5910;22
01-06-2020;5910;16
01-07-2020;5910;11
01-08-2020;5910;10
01-09-2020;5910;22
01-10-2020;5910;16
01-11-2020;5910;17
01-12-2020;5910;19
01-01-2020;1111;22
01-02-2020;1111;17
01-03-2020;1111;0
01-04-2020;1111;0
01-05-2020;1111;13
01-06-2020;1111;19
01-07-2020;1111;19
01-08-2020;1111;17
01-09-2020;1111;19
01-10-2020;1111;17
01-11-2020;1111;19
01-12-2020;1111;12
01-01-2020;1109;23
01-02-2020;1109;18
01-03-2020;1109;14
01-04-2020;1109;14
01-05-2020;1109;13
01-06-2020;1109;14
01-07-2020;1109;20
01-08-2020;1109;14
01-09-2020;1109;18
01-10-2020;1109;15
01-11-2020;1109;18
01-12-2020;1109;15
01-01-2020;5402;12
01-02-2020;5402;15
01-03-2020;5402;0
01-04-2020;5402;0
01-05-2020;5402;0
01-06-2020;5402;16
01-07-2020;5402;5
01-08-2020;5402;9
01-09-2020;5402;18
01-10-2020;5402;0
01-11-2020;5402;0
01-12-2020;5402;0
01-01-2020;1014;21
01-02-2020;1014;16
01-03-2020;1014;14
01-04-2020;1014;13
01-05-2020;1014;13
01-06-2020;1014;14
01-07-2020;1014;18
01-08-2020;1014;17
01-09-2020;1014;13
01-10-2020;1014;13
01-11-2020;1014;22
01-12-2020;1014;10
01-01-2020;1024E;18
01-02-2020;1024E;15
01-03-2020;1024E;11
01-04-2020;1024E;11
01-05-2020;1024E;14
01-06-2020;1024E;11
01-07-2020;1024E;18
01-08-2020;1024E;18
01-09-2020;1024E;13
01-10-2020;1024E;11
01-11-2020;1024E;20
01-12-2020;1024E;10
01-01-2020;0367;0
01-02-2020;0367;16
01-03-2020;0367;15
01-04-2020;0367;14
01-05-2020;0367;20
01-06-2020;0367;16
01-07-2020;0367;16
01-08-2020;0367;21
01-09-2020;0367;21
01-10-2020;0367;20
01-11-2020;0367;16
01-12-2020;0367;26
01-01-2020;5530E;18
01-02-2020;5530E;17
01-03-2020;5530E;27
01-04-2020;5530E;0
01-05-2020;5530E;0
01-06-2020;5530E;0
01-07-2020;5530E;7
01-08-2020;5530E;10
01-09-2020;5530E;21
01-10-2020;5530E;12
01-11-2020;5530E;17
01-12-2020;5530E;17
01-01-2020;5514;15
01-02-2020;5514;16
01-03-2020;5514;25
01-04-2020;5514;18
01-05-2020;5514;18
01-06-2020;5514;13
01-07-2020;5514;9
01-08-2020;5514;11
01-09-2020;5514;24
01-10-2020;5514;16
01-11-2020;5514;16
01-12-2020;5514;17
01-01-2020;C249I;19
01-02-2020;C249I;20
01-03-2020;C249I;28
01-04-2020;C249I;27
01-05-2020;C249I;19
01-06-2020;C249I;26
01-07-2020;C249I;17
01-08-2020;C249I;17
01-09-2020;C249I;20
01-10-2020;C249I;22
01-11-2020;C249I;21
01-12-2020;C249I;24
01-01-2020;C649I;17
01-02-2020;C649I;17
01-03-2020;C649I;27
01-04-2020;C649I;28
01-05-2020;C649I;18
01-06-2020;C649I;27
01-07-2020;C649I;17
01-08-2020;C649I;19
01-09-2020;C649I;19
01-10-2020;C649I;25
01-11-2020;C649I;23
01-12-2020;C649I;30
01-01-2020;C029O;18
01-02-2020;C029O;17
01-03-2020;C029O;24
01-04-2020;C029O;29
01-05-2020;C029O;18
01-06-2020;C029O;0
01-07-2020;C029O;16
01-08-2020;C029O;20
01-09-2020;C029O;14
01-10-2020;C029O;27
01-11-2020;C029O;23
01-12-2020;C029O;30
01-01-2020;2661;17
01-02-2020;2661;16
01-03-2020;2661;21
01-04-2020;2661;0
01-05-2020;2661;0
01-06-2020;2661;0
01-07-2020;2661;15
01-08-2020;2661;19
01-09-2020;2661;18
01-10-2020;2661;23
01-11-2020;2661;14
01-12-2020;2661;19
01-01-2020;9771C;13
01-02-2020;9771C;14
01-03-2020;9771C;19
01-04-2020;9771C;19
01-05-2020;9771C;14
01-06-2020;9771C;22
01-07-2020;9771C;12
01-08-2020;9771C;15
01-09-2020;9771C;15
01-10-2020;9771C;13
01-11-2020;9771C;13
01-12-2020;9771C;17
01-01-2020;3191E;12
01-02-2020;3191E;0
01-03-2020;3191E;0
01-04-2020;3191E;0
01-05-2020;3191E;22
01-06-2020;3191E;21
01-07-2020;3191E;18
01-08-2020;3191E;16
01-09-2020;3191E;19
01-10-2020;3191E;17
01-11-2020;3191E;11
01-12-2020;3191E;21
01-01-2020;3129;8
01-02-2020;3129;13
01-03-2020;3129;18
01-04-2020;3129;18
01-05-2020;3129;17
01-06-2020;3129;21
01-07-2020;3129;11
01-08-2020;3129;13
01-09-2020;3129;17
01-10-2020;3129;20
01-11-2020;3129;17
01-12-2020;3129;20
01-01-2020;3196;11
01-02-2020;3196;16
01-03-2020;3196;0
01-04-2020;3196;0
01-05-2020;3196;17
01-06-2020;3196;22
01-07-2020;3196;14
01-08-2020;3196;16
01-09-2020;3196;18
01-10-2020;3196;17
01-11-2020;3196;17
01-12-2020;3196;19
01-01-2020;3200;14
01-02-2020;3200;15
01-03-2020;3200;18
01-04-2020;3200;21
01-05-2020;3200;21
01-06-2020;3200;21
01-07-2020;3200;12
01-08-2020;3200;17
01-09-2020;3200;19
01-10-2020;3200;22
01-11-2020;3200;15
01-12-2020;3200;19
01-01-2020;3195;0
01-02-2020;3195;13
01-03-2020;3195;0
01-04-2020;3195;0
01-05-2020;3195;0
01-06-2020;3195;0
01-07-2020;3195;0
01-08-2020;3195;0
01-09-2020;3195;0
01-10-2020;3195;0
01-11-2020;3195;0
01-12-2020;3195;0
01-01-2020;3175;11
01-02-2020;3175;13
01-03-2020;3175;17
01-04-2020;3175;18
01-05-2020;3175;20
01-06-2020;3175;21
01-07-2020;3175;13
01-08-2020;3175;18
01-09-2020;3175;14
01-10-2020;3175;19
01-11-2020;3175;18
01-12-2020;3175;20
01-01-2020;2462;12
01-02-2020;2462;12
01-03-2020;2462;16
01-04-2020;2462;14
01-05-2020;2462;16
01-06-2020;2462;15
01-07-2020;2462;15
01-08-2020;2462;19
01-09-2020;2462;17
01-10-2020;2462;13
01-11-2020;2462;10
01-12-2020;2462;8
01-01-2020;6155A;18
01-02-2020;6155A;18
01-03-2020;6155A;17
01-04-2020;6155A;16
01-05-2020;6155A;22
01-06-2020;6155A;14
01-07-2020;6155A;7
01-08-2020;6155A;15
01-09-2020;6155A;21
