FECHA;INDICATIVO;DIAS_GRA
01-04-2021;7228;0
01-05-2021;7228;0
01-06-2021;7228;0
01-07-2021;7228;0
01-08-2021;7228;0
01-09-2021;7228;0
01-10-2021;7228;0
01-11-2021;7228;0
01-12-2021;7228;0
01-01-2021;7031;0
01-02-2021;7031;0
01-03-2021;7031;0
01-04-2021;7031;0
01-05-2021;7031;0
01-06-2021;7031;0
01-07-2021;7031;0
01-08-2021;7031;0
01-09-2021;7031;0
01-10-2021;7031;0
01-11-2021;7031;0
01-12-2021;7031;0
01-01-2021;9263D;1
01-02-2021;9263D;0
01-03-2021;9263D;0
01-04-2021;9263D;0
01-05-2021;9263D;0
01-06-2021;9263D;1
01-07-2021;9263D;0
01-08-2021;9263D;0
01-09-2021;9263D;0
01-10-2021;9263D;0
01-11-2021;9263D;0
01-12-2021;9263D;0
01-01-2021;9262;0
01-02-2021;9262;0
01-03-2021;9262;0
01-04-2021;9262;0
01-05-2021;9262;0
01-06-2021;9262;1
01-07-2021;9262;0
01-08-2021;9262;0
01-09-2021;9262;0
01-10-2021;9262;0
01-11-2021;9262;0
01-12-2021;9262;0
01-01-2021;1690A;0
01-02-2021;1690A;0
01-03-2021;1690A;0
01-04-2021;1690A;0
01-05-2021;1690A;0
01-06-2021;1690A;0
01-07-2021;1690A;0
01-08-2021;1690A;0
01-09-2021;1690A;0
01-10-2021;1690A;0
01-11-2021;1690A;0
01-12-2021;1690A;0
01-01-2021;1484C;0
01-02-2021;1484C;0
01-03-2021;1484C;0
01-04-2021;1484C;0
01-05-2021;1484C;0
01-06-2021;1484C;0
01-07-2021;1484C;0
01-08-2021;1484C;0
01-09-2021;1484C;0
01-10-2021;1484C;0
01-11-2021;1484C;0
01-12-2021;1484C;0
01-01-2021;1495;0
01-02-2021;1495;0
01-03-2021;1495;0
01-04-2021;1495;0
01-05-2021;1495;0
01-06-2021;1495;0
01-07-2021;1495;0
01-08-2021;1495;0
01-09-2021;1495;0
01-10-2021;1495;0
01-11-2021;1495;0
01-12-2021;1495;0
01-01-2021;2867;0
01-02-2021;2867;0
01-03-2021;2867;0
01-04-2021;2867;0
01-05-2021;2867;1
01-06-2021;2867;0
01-07-2021;2867;0
01-08-2021;2867;1
01-09-2021;2867;0
01-10-2021;2867;0
01-11-2021;2867;0
01-12-2021;2867;0
01-01-2021;C929I;0
01-02-2021;C929I;0
01-03-2021;C929I;0
01-04-2021;C929I;0
01-05-2021;C929I;0
01-06-2021;C929I;0
01-07-2021;C929I;0
01-08-2021;C929I;0
01-09-2021;C929I;0
01-10-2021;C929I;0
01-11-2021;C929I;0
01-12-2021;C929I;0
01-01-2021;C430E;1
01-02-2021;C430E;1
01-03-2021;C430E;0
01-04-2021;C430E;0
01-05-2021;C430E;0
01-06-2021;C430E;0
01-07-2021;C430E;0
01-08-2021;C430E;0
01-09-2021;C430E;0
01-10-2021;C430E;0
01-11-2021;C430E;0
01-12-2021;C430E;0
01-01-2021;C139E;0
01-02-2021;C139E;0
01-03-2021;C139E;0
01-04-2021;C139E;0
01-05-2021;C139E;0
01-06-2021;C139E;0
01-07-2021;C139E;0
01-08-2021;C139E;0
01-09-2021;C139E;0
01-10-2021;C139E;0
01-11-2021;C139E;0
01-12-2021;C139E;0
01-01-2021;C449C;0
01-02-2021;C449C;0
01-03-2021;C449C;0
01-04-2021;C449C;0
01-05-2021;C449C;0
01-06-2021;C449C;0
01-07-2021;C449C;0
01-08-2021;C449C;0
01-09-2021;C449C;0
01-10-2021;C449C;0
01-11-2021;C449C;0
01-12-2021;C449C;0
01-01-2021;C447A;0
01-02-2021;C447A;1
01-03-2021;C447A;0
01-04-2021;C447A;0
01-05-2021;C447A;0
