FECHA;INDICATIVO;DIAS_SOL
01-10-2020;C649I;4
01-11-2020;C649I;4
01-12-2020;C649I;1
01-01-2020;C029O;10
01-02-2020;C029O;12
01-03-2020;C029O;6
01-04-2020;C029O;0
01-05-2020;C029O;11
01-06-2020;C029O;0
01-07-2020;C029O;15
01-08-2020;C029O;11
01-09-2020;C029O;12
01-10-2020;C029O;3
01-11-2020;C029O;3
01-12-2020;C029O;1
01-01-2020;2661;2
01-02-2020;2661;6
01-03-2020;2661;4
01-04-2020;2661;0
01-05-2020;2661;0
01-06-2020;2661;0
01-07-2020;2661;16
01-08-2020;2661;6
01-09-2020;2661;8
01-10-2020;2661;2
01-11-2020;2661;5
01-12-2020;2661;1
01-01-2020;9771C;0
01-02-2020;9771C;13
01-03-2020;9771C;4
01-04-2020;9771C;2
01-05-2020;9771C;12
01-06-2020;9771C;7
01-07-2020;9771C;19
01-08-2020;9771C;16
01-09-2020;9771C;13
01-10-2020;9771C;15
01-11-2020;9771C;6
01-12-2020;9771C;4
01-01-2020;3191E;8
01-02-2020;3191E;0
01-03-2020;3191E;0
01-04-2020;3191E;0
01-05-2020;3191E;4
01-06-2020;3191E;8
01-07-2020;3191E;11
01-08-2020;3191E;15
01-09-2020;3191E;8
01-10-2020;3191E;7
01-11-2020;3191E;5
01-12-2020;3191E;2
01-01-2020;3129;10
01-02-2020;3129;11
01-03-2020;3129;2
01-04-2020;3129;1
01-05-2020;3129;9
01-06-2020;3129;9
01-07-2020;3129;20
01-08-2020;3129;18
01-09-2020;3129;10
01-10-2020;3129;6
01-11-2020;3129;3
01-12-2020;3129;2
01-01-2020;3196;6
01-02-2020;3196;6
01-03-2020;3196;0
01-04-2020;3196;0
01-05-2020;3196;6
01-06-2020;3196;8
01-07-2020;3196;17
01-08-2020;3196;14
01-09-2020;3196;6
01-10-2020;3196;7
01-11-2020;3196;4
01-12-2020;3196;2
01-01-2020;3200;7
01-02-2020;3200;8
01-03-2020;3200;1
01-04-2020;3200;1
01-05-2020;3200;7
01-06-2020;3200;9
01-07-2020;3200;19
01-08-2020;3200;14
01-09-2020;3200;8
01-10-2020;3200;4
01-11-2020;3200;6
01-12-2020;3200;3
01-01-2020;3195;0
01-02-2020;3195;10
01-03-2020;3195;0
01-04-2020;3195;0
01-05-2020;3195;0
01-06-2020;3195;0
01-07-2020;3195;0
01-08-2020;3195;0
01-09-2020;3195;0
01-10-2020;3195;0
01-11-2020;3195;0
01-12-2020;3195;0
01-01-2020;3175;8
01-02-2020;3175;10
01-03-2020;3175;3
01-04-2020;3175;1
01-05-2020;3175;6
01-06-2020;3175;9
01-07-2020;3175;18
01-08-2020;3175;12
01-09-2020;3175;11
01-10-2020;3175;6
01-11-2020;3175;3
01-12-2020;3175;2
01-01-2020;2462;7
01-02-2020;2462;9
01-03-2020;2462;0
01-04-2020;2462;0
01-05-2020;2462;4
