FECHA;INDICATIVO;INSOLACION
01-12-2016;3200;5.3
01-01-2016;3175;3.8
01-02-2016;3175;5.7
01-03-2016;3175;7.7
01-04-2016;3175;7.6
01-05-2016;3175;8.3
01-06-2016;3175;12.3
01-07-2016;3175;12.4
01-08-2016;3175;12.1
01-09-2016;3175;9.1
01-10-2016;3175;6.3
01-11-2016;3175;4.8
01-12-2016;3175;4.3
01-01-2016;2462;1.8
01-02-2016;2462;3.3
01-03-2016;2462;4.3
01-04-2016;2462;4.7
01-05-2016;2462;6.7
01-06-2016;2462;10.5
01-07-2016;2462;11.9
01-08-2016;2462;11.5
01-09-2016;2462;8.6
01-10-2016;2462;6.0
01-11-2016;2462;2.8
01-12-2016;2462;4.9
01-01-2016;6155A;0
01-02-2016;6155A;0
01-03-2016;6155A;8.3
01-04-2016;6155A;7.4
01-05-2016;6155A;8.6
01-06-2016;6155A;12.2
01-07-2016;6155A;11.4
01-08-2016;6155A;11.2
01-09-2016;6155A;10.8
01-10-2016;6155A;8.1
01-11-2016;6155A;6.2
01-12-2016;6155A;4.9
01-01-2016;6000A;5.7
01-02-2016;6000A;6.7
01-03-2016;6000A;8.7
01-04-2016;6000A;8.3
01-05-2016;6000A;8.4
01-06-2016;6000A;10.0
01-07-2016;6000A;8.5
01-08-2016;6000A;9.0
01-09-2016;6000A;7.8
01-10-2016;6000A;6.3
01-11-2016;6000A;6.1
01-12-2016;6000A;4.9
01-01-2016;7178I;6.2
01-02-2016;7178I;6.7
01-03-2016;7178I;8.7
01-04-2016;7178I;9.0
01-05-2016;7178I;10.4
01-06-2016;7178I;12.3
01-07-2016;7178I;11.8
01-08-2016;7178I;11.5
01-09-2016;7178I;10.2
01-10-2016;7178I;7.1
01-11-2016;7178I;6.2
01-12-2016;7178I;4.5
01-01-2016;7228;6.4
01-02-2016;7228;6.4
01-03-2016;7228;7.9
01-04-2016;7228;0
01-05-2016;7228;10.2
01-06-2016;7228;11.9
01-07-2016;7228;11.2
01-08-2016;7228;11.1
01-09-2016;7228;8.9
01-10-2016;7228;6.4
01-11-2016;7228;6.2
01-12-2016;7228;4.7
01-01-2016;7031;5.7
01-02-2016;7031;5.7
01-03-2016;7031;7.9
01-04-2016;7031;8.2
01-05-2016;7031;10.1
01-06-2016;7031;11.9
01-07-2016;7031;11.4
01-08-2016;7031;11.4
01-09-2016;7031;8.7
01-10-2016;7031;6.9
01-11-2016;7031;0
01-12-2016;7031;4.2
01-01-2016;9263D;1.8
01-02-2016;9263D;3.3
01-03-2016;9263D;0
01-04-2016;9263D;0
01-05-2016;9263D;0
01-06-2016;9263D;0
01-07-2016;9263D;0
01-08-2016;9263D;10.6
01-09-2016;9263D;0
01-10-2016;9263D;6.5
01-11-2016;9263D;3.0
01-12-2016;9263D;3.4
01-01-2016;1690A;1.7
01-02-2016;1690A;3.0
01-03-2016;1690A;5.4
01-04-2016;1690A;6.0
01-05-2016;1690A;5.9
01-06-2016;1690A;9.6
01-07-2016;1690A;11.5
01-08-2016;1690A;10.3
01-09-2016;1690A;7.9
01-10-2016;1690A;5.3
01-11-2016;1690A;2.4
01-12-2016;1690A;3.2
01-01-2016;1484C;1.5
01-02-2016;1484C;2.8
01-03-2016;1484C;5.1
01-04-2016;1484C;6.9
01-05-2016;1484C;6.3
01-06-2016;1484C;9.1
01-07-2016;1484C;12.2
01-08-2016;1484C;10.4
01-09-2016;1484C;8.3
01-10-2016;1484C;4.9
01-11-2016;1484C;3.4
01-12-2016;1484C;4.7
01-01-2016;1495;1.3
01-02-2016;1495;0
01-03-2016;1495;0
01-04-2016;1495;0
01-05-2016;1495;0
01-06-2016;1495;0
01-07-2016;1495;0
01-08-2016;1495;0
01-09-2016;1495;0
01-10-2016;1495;0
01-11-2016;1495;0
01-12-2016;1495;0
01-01-2016;2867;3.0
01-02-2016;2867;5.2
01-03-2016;2867;7.0
01-04-2016;2867;8.1
01-05-2016;2867;8.7
01-06-2016;2867;12.8
01-07-2016;2867;13.2
01-08-2016;2867;12.6
01-09-2016;2867;10.5
01-10-2016;2867;7.2
01-11-2016;2867;4.5
01-12-2016;2867;4.3
01-01-2016;C929I;6.7
01-02-2016;C929I;5.5
01-03-2016;C929I;7.0
01-04-2016;C929I;8.0
01-05-2016;C929I;8.7
01-06-2016;C929I;9.8
01-07-2016;C929I;0
01-08-2016;C929I;8.5
01-09-2016;C929I;8.6
01-10-2016;C929I;7.7
01-11-2016;C929I;6.0
01-12-2016;C929I;5.7
01-01-2016;C430E;9.2
01-02-2016;C430E;8.4
01-03-2016;C430E;10.4
01-04-2016;C430E;12.0
01-05-2016;C430E;12.2
01-06-2016;C430E;13.5
01-07-2016;C430E;13.0
01-08-2016;C430E;12.1
01-09-2016;C430E;12.1
01-10-2016;C430E;8.9
01-11-2016;C430E;7.2
01-12-2016;C430E;6.3
