FECHA;INDICATIVO;TEMP_MEDIA_MIN
01-01-2017;7228;4.0
01-02-2017;7228;7.3
01-03-2017;7228;7.8
01-04-2017;7228;10.2
01-05-2017;7228;13.7
01-06-2017;7228;19.2
01-07-2017;7228;21.0
01-08-2017;7228;22.0
01-09-2017;7228;18.1
01-10-2017;7228;14.5
01-11-2017;7228;7.2
01-12-2017;7228;3.3
01-01-2017;7031;5.4
01-02-2017;7031;9.6
01-03-2017;7031;9.7
01-04-2017;7031;11.9
01-05-2017;7031;15.4
01-06-2017;7031;20.5
01-07-2017;7031;22.1
01-08-2017;7031;23.5
01-09-2017;7031;20.0
01-10-2017;7031;16.2
01-11-2017;7031;9.4
01-12-2017;7031;5.4
01-01-2017;9262;1.1
01-02-2017;9262;4.3
01-03-2017;9262;5.7
01-04-2017;9262;6.7
01-05-2017;9262;11.2
01-06-2017;9262;15.7
01-07-2017;9262;16.5
01-08-2017;9262;15.8
01-09-2017;9262;11.7
01-10-2017;9262;10.7
01-11-2017;9262;4.9
01-12-2017;9262;2.4
01-01-2017;9263D;-0.7
01-02-2017;9263D;2.0
01-03-2017;9263D;4.1
01-04-2017;9263D;4.1
01-05-2017;9263D;9.1
01-06-2017;9263D;14.1
01-07-2017;9263D;15.1
01-08-2017;9263D;14.3
01-09-2017;9263D;10.1
01-10-2017;9263D;8.1
01-11-2017;9263D;2.7
01-12-2017;9263D;1.2
01-01-2017;1690A;1.5
01-02-2017;1690A;5.1
01-03-2017;1690A;5.9
01-04-2017;1690A;6.4
01-05-2017;1690A;11.6
01-06-2017;1690A;15.3
01-07-2017;1690A;15.9
01-08-2017;1690A;15.2
01-09-2017;1690A;11.9
01-10-2017;1690A;8.9
01-11-2017;1690A;3.7
01-12-2017;1690A;3.4
01-01-2017;1484C;5.2
01-02-2017;1484C;7.5
01-03-2017;1484C;8.1
01-04-2017;1484C;9.6
01-05-2017;1484C;12.6
01-06-2017;1484C;14.3
01-07-2017;1484C;15.1
01-08-2017;1484C;14.9
01-09-2017;1484C;12.8
01-10-2017;1484C;12.4
01-11-2017;1484C;8.0
01-12-2017;1484C;6.0
01-01-2017;1495;4.1
01-02-2017;1495;6.7
01-03-2017;1495;7.6
01-04-2017;1495;9.6
01-05-2017;1495;0
01-06-2017;1495;14.1
01-07-2017;1495;0
01-08-2017;1495;14.6
01-09-2017;1495;12.6
01-10-2017;1495;12.4
01-11-2017;1495;7.0
01-12-2017;1495;5.2
01-01-2017;2867;-4.2
01-02-2017;2867;1.3
01-03-2017;2867;1.6
01-04-2017;2867;3.3
01-05-2017;2867;8.6
01-06-2017;2867;13.3
01-07-2017;2867;11.5
01-08-2017;2867;11.3
01-09-2017;2867;7.5
01-10-2017;2867;4.5
01-11-2017;2867;-0.7
01-12-2017;2867;-1.4
01-01-2017;2870;-1.3
01-02-2017;2870;3.2
01-03-2017;2870;3.9
01-04-2017;2870;5.7
01-05-2017;2870;10.6
01-06-2017;2870;15.9
01-07-2017;2870;14.9
01-08-2017;2870;14.8
01-09-2017;2870;10.8
01-10-2017;2870;8.1
01-11-2017;2870;2.1
01-12-2017;2870;0.7
01-01-2017;C929I;17.8
01-02-2017;C929I;17.3
01-03-2017;C929I;17.4
01-04-2017;C929I;18.5
01-05-2017;C929I;19.8
01-06-2017;C929I;21.2
01-07-2017;C929I;21.7
01-08-2017;C929I;22.7
01-09-2017;C929I;22.8
01-10-2017;C929I;22.3
01-11-2017;C929I;20.7
01-12-2017;C929I;18.6
01-01-2017;C430E;1.7
01-02-2017;C430E;1.2
01-03-2017;C430E;3.1
01-04-2017;C430E;6.0
01-05-2017;C430E;8.1
01-06-2017;C430E;12.7
01-07-2017;C430E;14.4
01-08-2017;C430E;15.7
01-09-2017;C430E;11.4
01-10-2017;C430E;9.4
01-11-2017;C430E;5.7
01-12-2017;C430E;2.4
01-01-2017;C139E;0
01-02-2017;C139E;0
01-03-2017;C139E;16.0
01-04-2017;C139E;0
01-05-2017;C139E;18.6
01-06-2017;C139E;20.5
01-07-2017;C139E;21.2
01-08-2017;C139E;22.1
01-09-2017;C139E;22.0
01-10-2017;C139E;21.1
01-11-2017;C139E;0
01-12-2017;C139E;17.2
01-01-2017;C449C;16.1
01-02-2017;C449C;16.0
01-03-2017;C449C;16.3
01-04-2017;C449C;18.3
01-05-2017;C449C;19.7
01-06-2017;C449C;21.3
01-07-2017;C449C;21.8
01-08-2017;C449C;23.3
01-09-2017;C449C;22.3
01-10-2017;C449C;21.7
01-11-2017;C449C;19.6
01-12-2017;C449C;17.1
01-01-2017;C447A;10.6
01-02-2017;C447A;0
01-03-2017;C447A;11.1
01-04-2017;C447A;12.8
01-05-2017;C447A;13.6
01-06-2017;C447A;0
01-07-2017;C447A;16.8
01-08-2017;C447A;18.3
01-09-2017;C447A;16.9
01-10-2017;C447A;17.0
01-11-2017;C447A;14.4
01-12-2017;C447A;11.7
01-01-2017;C429I;0
01-02-2017;C429I;14.5
01-03-2017;C429I;15.7
01-04-2017;C429I;17.4
01-05-2017;C429I;18.8
01-06-2017;C429I;20.3
01-07-2017;C429I;20.6
01-08-2017;C429I;22.1
01-09-2017;C429I;21.4
01-10-2017;C429I;21.0
01-11-2017;C429I;0
01-12-2017;C429I;16.5
01-01-2017;2465;-1.0
01-02-2017;2465;2.8
01-03-2017;2465;4.1
01-04-2017;2465;5.7
01-05-2017;2465;10.7
01-06-2017;2465;15.9
01-07-2017;2465;15.4
01-08-2017;2465;15.5
01-09-2017;2465;11.2
01-10-2017;2465;10.2
01-11-2017;2465;2.9
01-12-2017;2465;0.7
01-01-2017;5796;1.9
01-02-2017;5796;7.6
01-03-2017;5796;7.6
01-04-2017;5796;10.7
01-05-2017;5796;13.2
01-06-2017;5796;18.6
01-07-2017;5796;19.1
01-08-2017;5796;20.1
01-09-2017;5796;16.6
01-10-2017;5796;14.9
01-11-2017;5796;7.5
01-12-2017;5796;5.0
01-01-2017;5783;4.0
01-02-2017;5783;9.2
01-03-2017;5783;0
01-04-2017;5783;12.6
01-05-2017;5783;15.4
01-06-2017;5783;20.0
01-07-2017;5783;20.2
01-08-2017;5783;21.2
01-09-2017;5783;17.7
01-10-2017;5783;16.2
01-11-2017;5783;8.8
01-12-2017;5783;6.2
01-01-2017;2030;-2.1
01-02-2017;2030;0.3
01-03-2017;2030;2.0
01-04-2017;2030;2.8
01-05-2017;2030;7.7
01-06-2017;2030;12.6
01-07-2017;2030;13.0
01-08-2017;2030;13.2
01-09-2017;2030;8.2
01-10-2017;2030;6.4
01-11-2017;2030;0.7
01-12-2017;2030;-0.4
01-01-2017;0016A;2.3
01-02-2017;0016A;6.5
01-03-2017;0016A;7.1
01-04-2017;0016A;8.2
01-05-2017;0016A;13.1
01-06-2017;0016A;18.9
01-07-2017;0016A;20.9
01-08-2017;0016A;21.2
01-09-2017;0016A;16.1
