FECHA;INDICATIVO;VIENTO_sup_55
01-04-2018;1549;1
01-05-2018;1549;0
01-06-2018;1549;0
01-07-2018;1549;0
01-08-2018;1549;0
01-09-2018;1549;0
01-10-2018;1549;0
01-11-2018;1549;0
01-12-2018;1549;0
01-01-2018;9771C;8
01-02-2018;9771C;2
01-03-2018;9771C;5
01-04-2018;9771C;0
01-05-2018;9771C;0
01-06-2018;9771C;1
01-07-2018;9771C;0
01-08-2018;9771C;2
01-09-2018;9771C;0
01-10-2018;9771C;1
01-11-2018;9771C;1
01-12-2018;9771C;0
01-01-2018;1505;1
01-02-2018;1505;0
01-03-2018;1505;7
01-04-2018;1505;1
01-05-2018;1505;0
01-06-2018;1505;0
01-07-2018;1505;0
01-08-2018;1505;0
01-09-2018;1505;0
01-10-2018;1505;1
01-11-2018;1505;0
01-12-2018;1505;1
01-01-2018;3191E;8
01-02-2018;3191E;8
01-03-2018;3191E;11
01-04-2018;3191E;4
01-05-2018;3191E;2
01-06-2018;3191E;0
01-07-2018;3191E;1
01-08-2018;3191E;0
01-09-2018;3191E;0
01-10-2018;3191E;4
01-11-2018;3191E;2
01-12-2018;3191E;3
01-01-2018;3195;0
01-02-2018;3195;0
01-03-2018;3195;0
01-04-2018;3195;0
01-05-2018;3195;0
01-06-2018;3195;0
01-07-2018;3195;0
01-08-2018;3195;0
01-09-2018;3195;0
01-10-2018;3195;0
01-11-2018;3195;1
01-12-2018;3195;0
01-01-2018;3129;0
01-02-2018;3129;5
01-03-2018;3129;20
01-04-2018;3129;0
01-05-2018;3129;2
01-06-2018;3129;0
01-07-2018;3129;0
01-08-2018;3129;4
01-09-2018;3129;0
01-10-2018;3129;0
01-11-2018;3129;0
01-12-2018;3129;0
01-01-2018;3196;0
01-02-2018;3196;1
01-03-2018;3196;11
01-04-2018;3196;5
01-05-2018;3196;2
01-06-2018;3196;1
01-07-2018;3196;0
01-08-2018;3196;1
01-09-2018;3196;0
01-10-2018;3196;1
01-11-2018;3196;2
01-12-2018;3196;1
01-01-2018;3200;4
01-02-2018;3200;2
01-03-2018;3200;12
01-04-2018;3200;6
01-05-2018;3200;1
01-06-2018;3200;1
01-07-2018;3200;0
01-08-2018;3200;3
01-09-2018;3200;1
01-10-2018;3200;0
01-11-2018;3200;2
01-12-2018;3200;0
01-01-2018;3175;3
01-02-2018;3175;7
01-03-2018;3175;13
01-04-2018;3175;5
01-05-2018;3175;4
01-06-2018;3175;0
01-07-2018;3175;1
01-08-2018;3175;4
01-09-2018;3175;1
01-10-2018;3175;1
01-11-2018;3175;1
01-12-2018;3175;1
01-01-2018;2462;15
01-02-2018;2462;9
01-03-2018;2462;22
01-04-2018;2462;14
01-05-2018;2462;0
01-06-2018;2462;4
01-07-2018;2462;1
01-08-2018;2462;2
01-09-2018;2462;2
01-10-2018;2462;12
01-11-2018;2462;0
01-12-2018;2462;5
01-01-2018;6155A;11
01-02-2018;6155A;0
01-03-2018;6155A;8
