FECHA;INDICATIVO;TEMP_sup_30
01-03-2019;5530E;0
01-04-2019;5530E;0
01-05-2019;5530E;12
01-06-2019;5530E;22
01-07-2019;5530E;31
01-08-2019;5530E;30
01-09-2019;5530E;17
01-10-2019;5530E;11
01-11-2019;5530E;0
01-12-2019;5530E;0
01-01-2019;5514;0
01-02-2019;5514;0
01-03-2019;5514;0
01-04-2019;5514;0
01-05-2019;5514;10
01-06-2019;5514;17
01-07-2019;5514;29
01-08-2019;5514;30
01-09-2019;5514;12
01-10-2019;5514;6
01-11-2019;5514;0
01-12-2019;5514;0
01-01-2019;3013;0
01-02-2019;3013;0
01-03-2019;3013;0
01-04-2019;3013;0
01-05-2019;3013;0
01-06-2019;3013;9
01-07-2019;3013;23
01-08-2019;3013;19
01-09-2019;3013;1
01-10-2019;3013;0
01-11-2019;3013;0
01-12-2019;3013;0
01-01-2019;4642E;0
01-02-2019;4642E;0
01-03-2019;4642E;0
01-04-2019;4642E;0
01-05-2019;4642E;11
01-06-2019;4642E;6
01-07-2019;4642E;17
01-08-2019;4642E;29
01-09-2019;4642E;17
01-10-2019;4642E;6
01-11-2019;4642E;0
01-12-2019;4642E;0
01-01-2019;9898;0
01-02-2019;9898;0
01-03-2019;9898;0
01-04-2019;9898;0
01-05-2019;9898;1
01-06-2019;9898;16
01-07-2019;9898;24
01-08-2019;9898;23
01-09-2019;9898;0
01-10-2019;9898;0
01-11-2019;9898;0
01-12-2019;9898;0
01-01-2019;5270B;0
01-02-2019;5270B;0
01-03-2019;5270B;0
01-04-2019;5270B;0
01-05-2019;5270B;11
01-06-2019;5270B;16
01-07-2019;5270B;29
01-08-2019;5270B;29
01-09-2019;5270B;9
01-10-2019;5270B;3
01-11-2019;5270B;0
01-12-2019;5270B;0
01-01-2019;9170;0
01-02-2019;9170;0
01-03-2019;9170;0
01-04-2019;9170;0
01-05-2019;9170;1
01-06-2019;9170;15
01-07-2019;9170;19
01-08-2019;9170;23
01-09-2019;9170;2
01-10-2019;9170;0
01-11-2019;9170;0
01-12-2019;9170;0
01-01-2019;C249I;0
01-02-2019;C249I;0
01-03-2019;C249I;0
01-04-2019;C249I;0
01-05-2019;C249I;0
