FECHA;INDICATIVO;EVAPORACION
01-06-2018;1024E;516
01-07-2018;1024E;517
01-08-2018;1024E;637
01-09-2018;1024E;721
01-10-2018;1024E;817
01-11-2018;1024E;1294
01-12-2018;1024E;880
01-01-2018;5530E;523
01-02-2018;5530E;701
01-03-2018;5530E;780
01-04-2018;5530E;1298
01-05-2018;5530E;1341
01-06-2018;5530E;2370
01-07-2018;5530E;3060
01-08-2018;5530E;3007
01-09-2018;5530E;1476
01-10-2018;5530E;914
01-11-2018;5530E;444
01-12-2018;5530E;456
01-01-2018;5514;642
01-02-2018;5514;829
01-03-2018;5514;1017
01-04-2018;5514;1567
01-05-2018;5514;1518
01-06-2018;5514;2781
01-07-2018;5514;3973
01-08-2018;5514;3637
01-09-2018;5514;1925
01-10-2018;5514;1203
01-11-2018;5514;634
01-12-2018;5514;587
01-01-2018;3013;0
01-02-2018;3013;0
01-03-2018;3013;0
01-04-2018;3013;0
01-05-2018;3013;0
01-06-2018;3013;0
01-07-2018;3013;0
01-08-2018;3013;0
01-09-2018;3013;0
01-10-2018;3013;642
01-11-2018;3013;347
01-12-2018;3013;0
01-01-2018;4642E;0
01-02-2018;4642E;857
01-03-2018;4642E;0
01-04-2018;4642E;0
01-05-2018;4642E;1363
01-06-2018;4642E;0
01-07-2018;4642E;0
01-08-2018;4642E;0
01-09-2018;4642E;0
01-10-2018;4642E;1099
01-11-2018;4642E;523
01-12-2018;4642E;0
01-01-2018;5270B;0
01-02-2018;5270B;527
01-03-2018;5270B;516
01-04-2018;5270B;0
01-05-2018;5270B;0
01-06-2018;5270B;960
01-07-2018;5270B;0
01-08-2018;5270B;0
01-09-2018;5270B;0
01-10-2018;5270B;0
01-11-2018;5270B;0
01-12-2018;5270B;286
01-01-2018;9170;989
01-02-2018;9170;952
01-03-2018;9170;1561
01-04-2018;9170;1405
01-05-2018;9170;1539
01-06-2018;9170;1828
01-07-2018;9170;2086
01-08-2018;9170;2580
01-09-2018;9170;1801
01-10-2018;9170;1415
01-11-2018;9170;637
01-12-2018;9170;984
01-01-2018;C249I;1349
01-02-2018;C249I;1357
01-03-2018;C249I;1769
01-04-2018;C249I;2331
01-05-2018;C249I;2241
01-06-2018;C249I;1851
01-07-2018;C249I;0
01-08-2018;C249I;0
01-09-2018;C249I;1461
01-10-2018;C249I;1400
01-11-2018;C249I;1522
01-12-2018;C249I;1332
01-01-2018;C029O;2174
01-02-2018;C029O;1976
01-03-2018;C029O;2629
01-04-2018;C029O;0
01-05-2018;C029O;2876
01-06-2018;C029O;2452
01-07-2018;C029O;3014
01-08-2018;C029O;3281
01-09-2018;C029O;2501
01-10-2018;C029O;1927
01-11-2018;C029O;1889
01-12-2018;C029O;0
01-01-2018;2661;0
01-02-2018;2661;0
01-03-2018;2661;0
01-04-2018;2661;1029
01-05-2018;2661;1204
01-06-2018;2661;1170
01-07-2018;2661;1337
01-08-2018;2661;1983
01-09-2018;2661;1660
01-10-2018;2661;1078
01-11-2018;2661;347
01-12-2018;2661;0
01-01-2018;1549;544
01-02-2018;1549;518
01-03-2018;1549;707
01-04-2018;1549;1183
01-05-2018;1549;1384
01-06-2018;1549;1274
01-07-2018;1549;1438
01-08-2018;1549;1842
01-09-2018;1549;1594
01-10-2018;1549;964
01-11-2018;1549;352
01-12-2018;1549;231
01-01-2018;9771C;1318
