FECHA;INDICATIVO;LLUVIA_MES
01-07-2018;9771C;38.4
01-08-2018;9771C;15.8
01-09-2018;9771C;13.2
01-10-2018;9771C;120.6
01-11-2018;9771C;82.2
01-12-2018;9771C;14.7
01-01-2018;1505;109.2
01-02-2018;1505;140.7
01-03-2018;1505;304.6
01-04-2018;1505;120.4
01-05-2018;1505;29.2
01-06-2018;1505;78.9
01-07-2018;1505;38.0
01-08-2018;1505;19.2
01-09-2018;1505;5.5
01-10-2018;1505;147.6
01-11-2018;1505;155.8
01-12-2018;1505;76.6
01-01-2018;3191E;46.1
01-02-2018;3191E;66.2
01-03-2018;3191E;196.2
01-04-2018;3191E;80.8
01-05-2018;3191E;82.3
01-06-2018;3191E;39.3
01-07-2018;3191E;2.2
01-08-2018;3191E;1.2
01-09-2018;3191E;39.7
01-10-2018;3191E;81.7
01-11-2018;3191E;88.9
01-12-2018;3191E;12.5
01-01-2018;3195;50.4
01-02-2018;3195;73.0
01-03-2018;3195;140.7
01-04-2018;3195;78.8
01-05-2018;3195;78.4
01-06-2018;3195;19.0
01-07-2018;3195;0.0
01-08-2018;3195;0.0
01-09-2018;3195;9.8
01-10-2018;3195;57.3
01-11-2018;3195;70.4
01-12-2018;3195;11.4
01-01-2018;3129;46.6
01-02-2018;3129;65.1
01-03-2018;3129;139.0
01-04-2018;3129;62.5
01-05-2018;3129;53.1
01-06-2018;3129;34.8
01-07-2018;3129;0.0
01-08-2018;3129;1.1
01-09-2018;3129;4.8
01-10-2018;3129;74.1
01-11-2018;3129;76.8
01-12-2018;3129;9.0
01-01-2018;3196;48.9
01-02-2018;3196;62.3
01-03-2018;3196;135.8
01-04-2018;3196;52.6
01-05-2018;3196;55.5
01-06-2018;3196;19.4
01-07-2018;3196;0.0
01-08-2018;3196;12.8
01-09-2018;3196;19.1
01-10-2018;3196;46.5
01-11-2018;3196;67.1
01-12-2018;3196;11.1
01-01-2018;3200;56.6
01-02-2018;3200;73.1
01-03-2018;3200;125.0
01-04-2018;3200;53.4
01-05-2018;3200;39.9
01-06-2018;3200;12.2
01-07-2018;3200;0.0
01-08-2018;3200;5.8
01-09-2018;3200;33.0
01-10-2018;3200;37.8
01-11-2018;3200;53.8
01-12-2018;3200;6.9
01-01-2018;3175;50.2
01-02-2018;3175;50.5
01-03-2018;3175;123.9
01-04-2018;3175;56.7
01-05-2018;3175;51.6
01-06-2018;3175;30.8
01-07-2018;3175;0.0
01-08-2018;3175;13.0
01-09-2018;3175;15.0
01-10-2018;3175;48.5
01-11-2018;3175;56.0
01-12-2018;3175;9.0
01-01-2018;2462;172.6
01-02-2018;2462;217.9
01-03-2018;2462;376.8
01-04-2018;2462;169.1
01-05-2018;2462;127.2
01-06-2018;2462;58.4
01-07-2018;2462;6.0
01-08-2018;2462;3.5
01-09-2018;2462;33.3
01-10-2018;2462;186.0
01-11-2018;2462;278.3
01-12-2018;2462;40.3
01-01-2018;6155A;42.8
01-02-2018;6155A;65.8
01-03-2018;6155A;193.4
01-04-2018;6155A;39.9
01-05-2018;6155A;15.0
01-06-2018;6155A;0.0
01-07-2018;6155A;0.0
01-08-2018;6155A;0.0
01-09-2018;6155A;8.1
01-10-2018;6155A;162.0
01-11-2018;6155A;76.8
01-12-2018;6155A;2.0
01-01-2018;6000A;43.6
01-02-2018;6000A;88.8
01-03-2018;6000A;32.3
01-04-2018;6000A;111.4
01-05-2018;6000A;3.8
01-06-2018;6000A;0.0
01-07-2018;6000A;0.0
01-08-2018;6000A;0.8
01-09-2018;6000A;19.8
01-10-2018;6000A;93.0
01-11-2018;6000A;15.6
01-12-2018;6000A;0.4
01-01-2018;7178I;56.5
01-02-2018;7178I;11.2
01-03-2018;7178I;12.6
01-04-2018;7178I;14.6
01-05-2018;7178I;16.2
01-06-2018;7178I;22.2
01-07-2018;7178I;0.0
01-08-2018;7178I;9.6
01-09-2018;7178I;34.4
01-10-2018;7178I;56.2
01-11-2018;7178I;66.8
01-12-2018;7178I;6.0
01-01-2018;7228;57.7
01-02-2018;7228;11.6
01-03-2018;7228;11.4
01-04-2018;7228;14.1
01-05-2018;7228;10.0
01-06-2018;7228;49.0
01-07-2018;7228;0.0
01-08-2018;7228;13.0
01-09-2018;7228;39.1
01-10-2018;7228;46.5
01-11-2018;7228;103.6
01-12-2018;7228;6.9
01-01-2018;7031;36.3
01-02-2018;7031;22.1
01-03-2018;7031;13.5
01-04-2018;7031;6.2
01-05-2018;7031;2.2
01-06-2018;7031;10.4
01-07-2018;7031;0.0
01-08-2018;7031;0.0
01-09-2018;7031;56.5
01-10-2018;7031;53.7
01-11-2018;7031;79.0
01-12-2018;7031;11.6
01-01-2018;9262;175.9
01-02-2018;9262;96.1
01-03-2018;9262;83.7
01-04-2018;9262;164.0
01-05-2018;9262;94.2
01-06-2018;9262;56.4
01-07-2018;9262;24.6
01-08-2018;9262;18.0
01-09-2018;9262;38.4
01-10-2018;9262;47.2
01-11-2018;9262;123.9
01-12-2018;9262;41.5
01-01-2018;9263D;172.7
01-02-2018;9263D;76.4
01-03-2018;9263D;89.9
01-04-2018;9263D;171.4
01-05-2018;9263D;90.8
01-06-2018;9263D;58.9
01-07-2018;9263D;34.7
01-08-2018;9263D;18.6
01-09-2018;9263D;27.9
01-10-2018;9263D;40.2
01-11-2018;9263D;91.6
01-12-2018;9263D;36.5
01-01-2018;1690A;72.4
01-02-2018;1690A;56.4
01-03-2018;1690A;240.9
01-04-2018;1690A;122.2
01-05-2018;1690A;29.0
01-06-2018;1690A;124.5
01-07-2018;1690A;19.2
01-08-2018;1690A;5.0
01-09-2018;1690A;45.8
01-10-2018;1690A;68.2
01-11-2018;1690A;189.8
01-12-2018;1690A;69.6
01-01-2018;1484C;153.6
01-02-2018;1484C;179.3
01-03-2018;1484C;347.1
01-04-2018;1484C;206.9
01-05-2018;1484C;60.9
01-06-2018;1484C;86.2
01-07-2018;1484C;34.8
01-08-2018;1484C;9.7
01-09-2018;1484C;6.9
01-10-2018;1484C;141.8
01-11-2018;1484C;310.5
01-12-2018;1484C;216.9
01-01-2018;1495;228.0
01-02-2018;1495;125.0
01-03-2018;1495;325.1
01-04-2018;1495;216.8
01-05-2018;1495;30.3
01-06-2018;1495;115.3
01-07-2018;1495;16.7
01-08-2018;1495;8.5
01-09-2018;1495;32.6
01-10-2018;1495;86.5
01-11-2018;1495;266.2
01-12-2018;1495;172.6
01-01-2018;2867;40.4
01-02-2018;2867;29.9
01-03-2018;2867;102.1
01-04-2018;2867;56.2
01-05-2018;2867;48.5
01-06-2018;2867;47.1
01-07-2018;2867;0.0
01-08-2018;2867;0.1
01-09-2018;2867;10.7
01-10-2018;2867;29.7
01-11-2018;2867;73.0
01-12-2018;2867;12.9
01-01-2018;2870;33.0
01-02-2018;2870;25.1
01-03-2018;2870;110.0
01-04-2018;2870;59.8
01-05-2018;2870;0
01-06-2018;2870;48.8
01-07-2018;2870;1.4
01-08-2018;2870;0.0
01-09-2018;2870;0
01-10-2018;2870;15.6
01-11-2018;2870;66.4
01-12-2018;2870;0
01-01-2018;C929I;10.1
01-02-2018;C929I;83.2
01-03-2018;C929I;4.0
01-04-2018;C929I;3.4
