FECHA;INDICATIVO;TEMP_MAX
01-09-2018;5973;33.5(24)
01-10-2018;5973;29.1(04)
01-11-2018;5973;20.8(03)
01-12-2018;5973;21.3(09)
01-01-2018;5960;20.2(18)
01-02-2018;5960;22.3(16)
01-03-2018;5960;25.1(28)
01-04-2018;5960;27.1(18)
01-05-2018;5960;29.7(15)
01-06-2018;5960;37.6(18)
01-07-2018;5960;38.6(31)
01-08-2018;5960;0
01-09-2018;5960;39.5(24)
01-10-2018;5960;33.7(02)
01-11-2018;5960;23.8(11)
01-12-2018;5960;0
01-01-2018;5910;19.4(18)
01-02-2018;5910;21.5(20)
01-03-2018;5910;22.5(28)
01-04-2018;5910;25.9(18)
01-05-2018;5910;27.9(15)
01-06-2018;5910;34.0(17)
01-07-2018;5910;32.5(07)
01-08-2018;5910;39.4(06)
01-09-2018;5910;36.9(24)
01-10-2018;5910;31.7(04)
01-11-2018;5910;22.5(14)
01-12-2018;5910;22.8(10)
01-01-2018;6001;19.1(17)
01-02-2018;6001;19.9(20)
01-03-2018;6001;0
01-04-2018;6001;0
01-05-2018;6001;0
01-06-2018;6001;26.3(24)
01-07-2018;6001;0
01-08-2018;6001;30.6(24)
01-09-2018;6001;27.6(02)
01-10-2018;6001;25.5(02)
01-11-2018;6001;0
01-12-2018;6001;18.8(06)
01-01-2018;1111;20.2(04)
01-02-2018;1111;19.2(15)
01-03-2018;1111;20.0(01)
01-04-2018;1111;25.5(06)
01-05-2018;1111;19.8(24)
01-06-2018;1111;22.4(30)
01-07-2018;1111;25.5(25)
01-08-2018;1111;28.4(06)
01-09-2018;1111;29.0(17)
01-10-2018;1111;29.5(13)
01-11-2018;1111;22.2(15)
01-12-2018;1111;20.7(22)
01-01-2018;1109;19.7(04)
01-02-2018;1109;20.5(15)
01-03-2018;1109;20.4(01)
01-04-2018;1109;27.7(21)
01-05-2018;1109;22.6(22)
01-06-2018;1109;25.5(24)
01-07-2018;1109;27.7(09)
01-08-2018;1109;32.5(06)
01-09-2018;1109;34.0(17)
01-10-2018;1109;31.1(13)
01-11-2018;1109;23.4(15)
01-12-2018;1109;20.8(22)
01-01-2018;8500A;25.7(04)
01-02-2018;8500A;21.5(15)
01-03-2018;8500A;26.7(28)
01-04-2018;8500A;26.0(23)
01-05-2018;8500A;25.9(27)
01-06-2018;8500A;32.5(21)
01-07-2018;8500A;35.6(16)
01-08-2018;8500A;36.2(04)
01-09-2018;8500A;31.3(01)
01-10-2018;8500A;28.0(01)
01-11-2018;8500A;21.3(11)
01-12-2018;8500A;22.2(09)
01-01-2018;5000C;22.7(02)
01-02-2018;5000C;20.7(28)
01-03-2018;5000C;23.7(28)
01-04-2018;5000C;23.7(27)
01-05-2018;5000C;25.9(31)
01-06-2018;5000C;31.1(14)
01-07-2018;5000C;33.7(28)
01-08-2018;5000C;34.4(13)
01-09-2018;5000C;29.6(03)
01-10-2018;5000C;30.8(07)
01-11-2018;5000C;22.2(03)
01-12-2018;5000C;24.1(08)
01-01-2018;4121;18.0(21)
01-02-2018;4121;17.8(26)
01-03-2018;4121;23.5(28)
01-04-2018;4121;27.3(25)
01-05-2018;4121;30.0(24)
