FECHA;INDICATIVO;TEMP_MEDIA_MAX
01-11-2021;8500A;18.7
01-12-2021;8500A;17.8
01-01-2021;5000C;15.9
01-02-2021;5000C;17.1
01-03-2021;5000C;17.9
01-04-2021;5000C;19.4
01-05-2021;5000C;23.1
01-06-2021;5000C;25.1
01-07-2021;5000C;29.1
01-08-2021;5000C;29.1
01-09-2021;5000C;27.0
01-10-2021;5000C;24.0
01-11-2021;5000C;18.9
01-12-2021;5000C;17.1
01-01-2021;4121;10.1
01-02-2021;4121;15.9
01-03-2021;4121;18.0
01-04-2021;4121;19.6
01-05-2021;4121;25.9
01-06-2021;4121;31.0
01-07-2021;4121;34.6
01-08-2021;4121;34.9
01-09-2021;4121;27.6
01-10-2021;4121;23.3
01-11-2021;4121;13.9
01-12-2021;4121;12.9
01-01-2021;5402;14.2
01-02-2021;5402;18.2
01-03-2021;5402;22.1
01-04-2021;5402;24.0
01-05-2021;5402;29.7
01-06-2021;5402;33.1
01-07-2021;5402;0
01-08-2021;5402;37.6
01-09-2021;5402;31.9
01-10-2021;5402;28.1
01-11-2021;5402;18.7
01-12-2021;5402;17.4
01-01-2021;8096;8.9
01-02-2021;8096;13.8
01-03-2021;8096;16.4
01-04-2021;8096;16.9
01-05-2021;8096;23.2
01-06-2021;8096;27.6
01-07-2021;8096;32.9
01-08-2021;8096;33.5
01-09-2021;8096;26.2
01-10-2021;8096;22.3
01-11-2021;8096;12.8
01-12-2021;8096;13.0
01-01-2021;1014;11.4
01-02-2021;1014;17.2
01-03-2021;1014;16.1
01-04-2021;1014;17.7
01-05-2021;1014;19.7
01-06-2021;1014;22.6
01-07-2021;1014;23.6
01-08-2021;1014;24.4
01-09-2021;1014;24.6
01-10-2021;1014;21.5
01-11-2021;1014;14.0
01-12-2021;1014;15.5
01-01-2021;1024E;9.8
01-02-2021;1024E;15.3
01-03-2021;1024E;13.7
01-04-2021;1024E;15.2
01-05-2021;1024E;17.4
01-06-2021;1024E;20.2
01-07-2021;1024E;20.6
01-08-2021;1024E;21.2
01-09-2021;1024E;22.1
01-10-2021;1024E;18.8
01-11-2021;1024E;12.0
01-12-2021;1024E;14.4
01-01-2021;0367;13.0
01-02-2021;0367;0
01-03-2021;0367;17.2
01-04-2021;0367;18.5
01-05-2021;0367;22.8
01-06-2021;0367;30.6
01-07-2021;0367;32.1
01-08-2021;0367;31.5
01-09-2021;0367;28.0
01-10-2021;0367;23.0
01-11-2021;0367;16.2
01-12-2021;0367;16.1
01-01-2021;5530E;13.3
01-02-2021;5530E;17.7
01-03-2021;5530E;19.8
01-04-2021;5530E;21.2
01-05-2021;5530E;27.8
01-06-2021;5530E;32.3
01-07-2021;5530E;37.0
01-08-2021;5530E;36.6
01-09-2021;5530E;31.3
01-10-2021;5530E;26.6
01-11-2021;5530E;16.1
01-12-2021;5530E;16.3
01-01-2021;5514;12.7
01-02-2021;5514;17.4
01-03-2021;5514;19.0
01-04-2021;5514;20.3
