FECHA;INDICATIVO;DIAS_LLU
01-12-2020;9091O;23
01-01-2020;1212E;21
01-02-2020;1212E;13
01-03-2020;1212E;17
01-04-2020;1212E;22
01-05-2020;1212E;15
01-06-2020;1212E;15
01-07-2020;1212E;13
01-08-2020;1212E;16
01-09-2020;1212E;14
01-10-2020;1212E;21
01-11-2020;1212E;12
01-12-2020;1212E;21
01-01-2020;1208H;19
01-02-2020;1208H;11
01-03-2020;1208H;12
01-04-2020;1208H;18
01-05-2020;1208H;10
01-06-2020;1208H;15
01-07-2020;1208H;9
01-08-2020;1208H;14
01-09-2020;1208H;13
01-10-2020;1208H;20
01-11-2020;1208H;11
01-12-2020;1208H;23
01-01-2020;1249I;19
01-02-2020;1249I;11
01-03-2020;1249I;19
01-04-2020;1249I;22
01-05-2020;1249I;15
01-06-2020;1249I;22
01-07-2020;1249I;17
01-08-2020;1249I;18
01-09-2020;1249I;17
01-10-2020;1249I;22
01-11-2020;1249I;12
01-12-2020;1249I;25
01-01-2020;2444;9
01-02-2020;2444;3
01-03-2020;2444;11
01-04-2020;2444;19
01-05-2020;2444;9
01-06-2020;2444;4
01-07-2020;2444;6
01-08-2020;2444;4
01-09-2020;2444;9
01-10-2020;2444;10
01-11-2020;2444;11
01-12-2020;2444;11
01-01-2020;4452;10
01-02-2020;4452;1
01-03-2020;4452;7
01-04-2020;4452;0
01-05-2020;4452;7
01-06-2020;4452;0
01-07-2020;4452;1
01-08-2020;4452;0
01-09-2020;4452;3
01-10-2020;4452;7
01-11-2020;4452;12
01-12-2020;4452;17
01-01-2020;B954;11
01-02-2020;B954;1
01-03-2020;B954;11
01-04-2020;B954;12
01-05-2020;B954;5
01-06-2020;B954;4
01-07-2020;B954;4
01-08-2020;B954;4
01-09-2020;B954;6
01-10-2020;B954;9
01-11-2020;B954;9
01-12-2020;B954;8
01-01-2020;B893;8
01-02-2020;B893;3
01-03-2020;B893;15
01-04-2020;B893;10
01-05-2020;B893;7
01-06-2020;B893;6
01-07-2020;B893;1
01-08-2020;B893;4
01-09-2020;B893;8
01-10-2020;B893;11
01-11-2020;B893;7
01-12-2020;B893;16
01-01-2020;B278;6
01-02-2020;B278;0
01-03-2020;B278;13
01-04-2020;B278;10
01-05-2020;B278;4
01-06-2020;B278;4
01-07-2020;B278;2
01-08-2020;B278;2
01-09-2020;B278;9
01-10-2020;B278;9
01-11-2020;B278;5
01-12-2020;B278;15
01-01-2020;B228;6
01-02-2020;B228;0
01-03-2020;B228;0
01-04-2020;B228;0
01-05-2020;B228;0
01-06-2020;B228;4
01-07-2020;B228;2
01-08-2020;B228;2
01-09-2020;B228;6
01-10-2020;B228;8
01-11-2020;B228;7
